4r40_C		_0_B_2_j_3_A_0_-_1_C_2_B_7_G_0_-_2_B_0_-_7_G_12_G_0_-_12_G_12_G_12_G_2_B_17_B	_6_E_0_-_6_A_5_E_6_E_5_D_5_E_6_D_6_B_17_E_5_E_6_E_6_A_7_E_5_G_2_G_5_B_7_C	0-13	12-28	BjACBGBGGGGGBBbi	CDiBbeHHImFFEAEEDEDBEEEAEGGBCEFCF	0.558
6lt9_B		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_7_G_12_G_12_G_12_G_12_G_2_B_17_B_8_b_6_i	_0_B_0_-_5_B_10_C_3_C_0_-_2_C_15_F_4_E_2_A_4_A_7_F_6_B_16_A_0_d_4_c	0-15	4-17	BjACBGBGGGGGBBbi	AFFbBBCCCFEAAFBAdc	0.489
5lp5_E		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_7_G_12_G_12_G_12_G_12_G_2_B_17_B	_0_E_0_-_1_C_7_C_10_D_3_H_2_E_8_C_4_F_5_E_10_C_11_I_4_E_12_F	0-13	0-12	BjACBGBGGGGGBBbi	ECCDHECFECIEF	0.582
6e8v_U		_0_B_2_j_0_-_3_A_1_C_2_B_7_G_2_B_7_G_12_G_12_G_12_G_12_G_0_-_2_B_0_-_17_B	_4_E_4_b_1_L_5_B_8_B_4_B_4_B_6_B_1_J_3_D_8_E_5_I_4_C_0_b_5_B_3_A_5_B	0-13	8-24	BjACBGBGGGGGBBbi	DAGFEBbCEbLBBBBBJDEICbBABCFF	0.489
6cw1_A		_3_A_1_C_2_B_7_G_2_B_7_G_12_G_0_-_12_G_12_G_12_G_2_B_17_B_8_b_0_-_0_-_6_i	_0_D_3_D_5_B_1_I_4_D_5_G_2_G_3_E_12_G_2_E_3_E_7_B_2_C_5_b_10_J_3_A_1_f	2-15	0-16	BjACBGBGGGGGBBbi	DDBIDGGEGEEBCbJAfCbBBHFbFFDGEEBcGBf	0.612
7okq_J		_0_B_2_j_3_A_1_C_2_B_7_G_0_-_2_B_7_G_12_G_0_-_12_G_12_G_12_G	_5_C_0_-_10_A_5_C_2_C_5_C_1_b_5_A_5_F_3_H_4_E_4_E_6_F_10_G	0-11	19-31	BjACBGBGGGGGBBbi	hbgEFEEEEEDDCEEEACCCACCCbAFHEEFG	0.610
1z9m_A		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_7_G_12_G_0_-_12_G_12_G	_0_C_0_-_4_E_8_C_5_C_0_-_2_A_6_E_3_E_4_b_1_F_5_I	0-10	0-9	BjACBGBGGGGGBBbi	CECCAEEbFI	0.525
6mot_A		_0_B_2_j_3_A_1_C_2_B_0_-_7_G_0_-_2_B_7_G_12_G_12_G_12_G_12_G_2_B_17_B_0_-_0_-_0_-_8_b_0_-_6_i	_0_B_0_-_11_B_4_E_6_B_8_b_0_D_7_D_1_B_2_B_7_A_3_F_16_H_4_H_13_A_0_-_21_c_20_c_5_f_6_b_3_A_1_j	0-15	0-19	BjACBGBGGGGGBBbi	BBEBbDDBBAFHHAccfbAjDbcfFkDk	0.434
7kq7_L		_0_B_2_j_3_A_0_-_1_C_2_B_7_G_2_B_0_-_7_G_0_-_12_G_0_-_0_-_12_G_12_G_0_-_12_G_0_-_2_B_17_B	_4_A_0_-_2_A_1_E_6_D_3_A_7_E_2_E_4_b_1_F_6_A_3_E_6_D_3_c_3_J_4_E_8_D_9_I_0_d_4_E_7_D	0-13	3-22	BjACBGBGGGGGBBbi	CDFAAEDAEEbFAEDcJEDIdED	0.396
3gkw_L		_0_B_2_j_3_A_1_C_2_B_0_-_7_G_2_B_7_G_12_G_0_-_12_G_0_-_12_G_12_G_2_B_17_B	_6_D_0_-_3_A_7_E_2_E_4_b_2_E_6_A_3_E_6_D_3_c_3_J_4_B_5_D_9_I_5_B_7_B	0-13	4-19	BjACBGBGGGGGBBbi	CDFEDAEEbEAEDcJBDIBB	0.520
2zck_H		_0_B_2_j_3_A_1_C_0_-_2_B_7_G_2_B_7_G_0_-_12_G_12_G_0_-_12_G_0_-_12_G_2_B_17_B	_0_B_0_-_4_B_5_G_3_b_1_F_5_G_4_C_7_E_0_b_1_E_8_G_9_C_4_C_9_B_11_J_5_C_8_B	0-13	0-16	BjACBGBGGGGGBBbi	BBGbFGCEbEGCCBJCBAIDD	0.484
4zv4_B		_0_B_0_-_2_j_3_A_0_-_1_C_0_-_2_B_7_G_2_B_0_-_7_G_0_-_12_G_0_-_12_G_0_-_12_G_12_G	_9_B_2_d_9_k_12_B_2_B_6_E_5_A_2_E_5_I_2_B_1_A_4_E_12_B_5_J_18_C_2_G_12_K_4_E_2_J	0-11	12-30	BjACBGBGGGGGBBbi	FldAAEEhEkEmBdkBBEAEIBAEBJCGKEJ	0.436
2q8b_H		_1_C_2_B_7_G_0_-_2_B_7_G_12_G_0_-_12_G_12_G_0_-_12_G_2_B_17_B	_0_C_3_B_5_G_3_b_2_E_5_G_4_C_1_b_3_E_4_E_4_b_1_F_2_A_3_D	3-13	0-13	BjACBGBGGGGGBBbi	CBGbEGCbEEbFADDJCGJEE	0.571
6ncp_C		_1_C_2_B_7_G_0_-_2_B_7_G_12_G_12_G_12_G_0_-_12_G_2_B_17_B	_0_D_2_B_5_G_3_b_2_E_5_F_7_B_7_E_4_E_4_b_1_G_4_C_2_C	3-13	0-12	BjACBGBGGGGGBBbi	DBGbEFBEEbGCCCDDJDBAHbEE	0.616
5fuo_L		_0_B_2_j_3_A_1_C_2_B_0_-_7_G_2_B_7_G_0_-_0_-_12_G_12_G_0_-_0_-_12_G_0_-_12_G_2_B_17_B	_5_E_0_-_3_A_7_E_2_E_4_b_1_F_8_A_3_E_6_A_6_c_3_J_3_F_2_A_4_D_9_I_0_d_3_G_6_A_2_A	0-13	4-22	BjACBGBGGGGGBBbi	CCFEEAEEbFAEAcJFADIdGAA	0.431
7aql_B		_0_B_0_-_2_j_3_A_0_-_1_C_0_-_2_B_0_-_0_-_7_G_2_B_7_G_0_-_12_G_12_G_12_G_12_G_0_-_2_B_17_B_8_b	_3_B_5_G_3_b_1_G_3_H_4_C_1_b_3_E_4_E_4_b_1_G_8_A_3_D_4_C_2_C_5_F_7_E_5_E_3_A_7_E_2_E_4_b	0-14	1-22	BjACBGBGGGGGBBbi	CBGbGHCbEEbGADCCFEEAEEbFAE	0.368
3b90_B		_0_B_2_j_3_A_1_C_0_-_2_B_7_G_2_B_7_G_12_G_12_G_12_G_12_G_2_B_17_B_0_-_8_b	_2_B_0_-_4_A_14_C_2_F_8_D_1_H_7_B_3_D_2_C_10_D_4_E_2_J_3_A_6_D_2_K_0_b	0-14	1-16	BjACBGBGGGGGBBbi	CBACFDHBDCDEJADKbCBDADBbC	0.570
8ejj_h		_3_A_1_C_2_B_7_G_2_B_0_-_7_G_12_G_12_G_0_-_12_G	_0_A_5_C_12_E_6_E_5_B_4_b_0_E_4_E_8_E_7_b_15_D	2-10	0-10	BjACBGBGGGGGBBbi	ACEEBbEEEbD	0.587
2j3s_B		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_7_G_12_G_12_G_12_G_12_G_2_B_0_-_0_-_17_B_8_b	_1_B_1_b_0_-_1_B_4_E_8_E_5_E_4_F_4_H_2_A_5_E_4_H_20_A_4_A_4_b_1_B_1_b	0-14	1-16	BjACBGBGGGGGBBbi	bBbBEEEFHAEHAAbBbAEHFGHAE	0.596
3cia_C		_0_B_2_j_3_A_1_C_0_-_2_B_7_G_2_B_0_-_7_G_0_-_12_G_12_G_12_G_0_-_12_G_2_B_17_B_8_b_6_i	_7_C_0_-_3_H_5_C_1_E_5_D_7_G_6_C_1_b_7_C_6_b_11_G_5_C_7_I_1_b_2_C_2_C_4_D_4_f_3_j	0-15	2-20	BjACBGBGGGGGBBbi	KJCHCEDGCbCbGCIbCCDfjDACbjBnomkBghhbgekkfhi	0.447
8cz5_H		_0_B_0_-_2_j_3_A_1_C_2_B_0_-_7_G_0_-_2_B_0_-_7_G_12_G_12_G_12_G_12_G_0_-_2_B_17_B_0_-_8_b	_3_B_5_G_3_b_2_E_5_F_6_B_1_b_3_E_0_b_1_E_4_b_1_J_2_G_3_D_8_D_10_J_4_C_8_B_3_B_2_J_0_b	0-14	1-21	BjACBGBGGGGGBBbi	CBGbEFBbEbEbJGDDJCBBJbEbE	0.416
4kc3_B		_0_B_2_j_3_A_0_-_1_C_2_B_7_G_2_B_0_-_7_G_12_G_12_G_12_G_12_G_2_B_17_B_8_b	_15_B_0_-_6_B_3_b_7_C_2_A_5_C_2_C_4_b_1_I_4_J_6_G_9_F_7_E_11_D_4_G_6_b	0-14	8-23	BjACBGBGGGGGBBbi	CCDCCbGJBBbCACCbIJGFEDGbEF	0.586
8oe4_D		_0_B_2_j_3_A_1_C_2_B_0_-_7_G_2_B_0_-_7_G_12_G_12_G_12_G_0_-_12_G_2_B_17_B_0_-_8_b	_4_G_0_-_6_G_5_F_3_D_0_b_7_H_2_B_4_B_14_E_2_F_7_G_6_G_6_B_7_H_9_B_10_C_7_G_15_b	0-14	1-18	BjACBGBGGGGGBBbi	GGGFDbHBBEFGGBHBCGbGDBHADCFHGFIbIcHFcIEDIC	0.527
6kqt_A		_0_B_2_j_0_-_3_A_0_-_1_C_2_B_0_-_7_G_2_B_0_-_7_G_12_G_12_G_12_G_0_-_12_G_2_B_17_B_8_b_6_i	_3_C_19_e_7_D_3_B_3_B_9_E_6_B_5_D_12_J_4_C_2_C_15_H_4_G_2_E_10_F_5_c_3_G_2_E_1_G_0_e_6_f	0-15	12-32	BjACBGBGGGGGBBbi	kmbjdmAAibqoCeDBBEBDJCCHGEFcGEGefFBCABBCBBBABBCABBCBCBD	0.471
7d85_C		_3_A_1_C_2_B_7_G_2_B_7_G_12_G_0_-_12_G_0_-_0_-_0_-_0_-_12_G_12_G_2_B_17_B	_0_A_3_C_5_E_10_E_6_D_12_E_2_E_4_b_1_H_4_D_2_D_8_D_3_d_3_J_4_E_2_B_3_B	2-13	0-16	BjACBGBGGGGGBBbi	ACEEDEEbHDDDdJEBBAHeFF	0.472
1d2q_B		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_7_G_12_G_12_G_12_G_12_G_2_B_17_B	_0_E_0_-_14_A_3_A_5_B_1_C_2_C_3_J_2_G_6_G_6_J_4_E_5_A_6_G	0-13	0-12	BjACBGBGGGGGBBbi	EAABCCJGGJEAG	0.599
2i9l_C		_0_B_2_j_3_A_0_-_1_C_2_B_7_G_2_B_0_-_7_G_0_-_12_G_12_G_0_-_12_G_12_G_2_B_17_B_0_-_8_b	_4_A_0_-_4_A_1_E_6_D_3_A_7_E_2_E_4_b_1_F_5_A_3_E_6_D_3_e_1_J_4_E_2_B_3_D_9_I_0_d	0-14	3-21	BjACBGBGGGGGBBbi	CDFAAEDAEEbFAEDeJEBDIdFE	0.451
8a7d_Q		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_0_-_0_-_7_G_12_G_12_G_12_G_12_G_0_-_2_B_17_B_0_-_8_b_0_-_0_-_6_i	_9_E_0_-_4_B_4_C_11_B_1_A_8_B_2_c_3_A_3_E_16_E_25_C_9_E_4_D_6_b_7_A_2_C_5_A_2_b_1_C_9_B_5_f	0-15	1-21	BjACBGBGGGGGBBbi	CEBCBABcAEECEDbACAbCBfBc	0.422
1kj2_A		_1_C_2_B_7_G_2_B_7_G_12_G_0_-_12_G_12_G_12_G_2_B_17_B	_0_C_2_D_4_F_0_-_4_H_6_F_4_C_2_E_4_E_8_H_6_A_3_F	3-13	0-10	BjACBGBGGGGGBBbi	CDFHFCEEHAF	0.643
7o4z_A		_0_B_2_j_3_A_1_C_2_B_0_-_7_G_0_-_0_-_2_B_7_G_12_G_12_G_12_G_12_G_2_B_0_-_17_B_0_-_8_b_6_i	_1_B_0_-_4_A_4_C_5_B_4_A_4_C_5_A_5_A_1_B_4_A_4_G_4_A_4_F_4_A_4_B_2_A_3_B_4_A_2_d_6_j	0-15	3-22	BjACBGBGGGGGBBbi	AACBACBACAABAGAFABABAdj	0.524
3bsz_N		_0_B_2_j_3_A_1_C_2_B_0_-_7_G_2_B_7_G_12_G_12_G_0_-_0_-_12_G_12_G_2_B_0_-_17_B_0_-_0_-_8_b	_0_A_0_-_5_A_6_B_2_B_9_D_6_F_4_C_7_E_4_E_9_E_8_A_5_A_10_C_11_J_5_B_0_b_5_C_8_H_11_D_0_b	0-14	0-19	BjACBGBGGGGGBBbi	AABBDFCEEEAACJBbCHDbD	0.457
6ad4_B		_0_B_2_j_3_A_0_-_1_C_0_-_2_B_7_G_0_-_0_-_0_-_0_-_0_-_0_-_2_B_7_G_0_-_12_G_12_G_12_G_12_G_2_B_17_B_8_b_6_i	_4_C_3_i_4_A_6_f_6_C_4_b_2_B_3_D_4_k_2_b_1_j_4_c_4_f_7_e_3_E_2_E_2_b_13_G_5_G_10_H_5_I_6_A_0_-_5_b_6_k	0-15	17-40	BjACBGBGGGGGBBbi	DDbGGbbBbgkeibbeCCiAfCbBDkbjcfeEEbGGHIAbkpfDbFFcDbAAAFhEeDeHEDjbDkCfHJiGngjkKbGDkbAAqiFKJnbEbofg	0.420
7znl_F		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_7_G_0_-_12_G_12_G_12_G_12_G_2_B_17_B	_5_D_0_-_6_C_9_C_3_E_4_F_15_B_6_E_3_D_4_E_5_E_3_E_3_E_4_E_5_E	0-13	15-28	BjACBGBGGGGGBBbi	jBDEcbCCDDcAFEDDCCEFBEDEEEEEEDDD	0.605
3cka_A		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_7_G_12_G_12_G_0_-_12_G_12_G_2_B_17_B_8_b_6_i	_5_F_0_-_5_E_5_F_5_D_7_E_4_E_3_G_2_G_4_F_8_E_4_E_2_G_5_E_11_B_0_-_2_h	0-15	13-27	BjACBGBGGGGGBBbi	EHFFEEFGEFEFEFEFDEEGGFEEGEBh	0.614
6huj_B		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_7_G_12_G_0_-_12_G_12_G_12_G_2_B_17_B_8_b_6_i	_12_B_1_d_6_B_2_E_7_D_4_K_11_A_2_E_7_D_6_A_9_B_3_G_4_G_2_B_0_-_2_b_5_h	0-15	3-18	BjACBGBGGGGGBBbi	jLKBdBEDKAEDABGGBbhbqoq	0.573
6rnn_C		_0_B_2_j_3_A_0_-_1_C_2_B_0_-_7_G_2_B_0_-_7_G_0_-_12_G_12_G_0_-_12_G_12_G_2_B_17_B_0_-_8_b	_0_C_0_-_2_D_4_F_11_E_6_D_3_A_7_E_2_E_4_b_1_F_6_A_3_E_6_D_3_e_1_J_5_D_2_B_3_D_9_I_0_d	0-14	0-19	BjACBGBGGGGGBBbi	CDFEDAEEbFAEDeJDBDIdEE	0.370
7tb8_J		_1_C_2_B_7_G_0_-_2_B_7_G_12_G_12_G_12_G_12_G_2_B_17_B	_0_D_0_-_10_G_3_b_2_D_7_E_6_B_7_E_4_E_8_G_2_B_2_B	3-13	0-10	BjACBGBGGGGGBBbi	DGbDEBEEGBBB	0.666
8fd0_D		_3_A_1_C_2_B_7_G_2_B_7_G_12_G_12_G_12_G_12_G_0_-_2_B_17_B	_0_A_12_C_2_B_8_E_0_-_6_E_6_B_0_-_7_E_4_F_3_b_1_C_15_C	2-13	0-10	BjACBGBGGGGGBBbi	ACBEEBEFbCC	0.561
5ngl_C		_0_B_2_j_3_A_1_C_2_B_0_-_7_G_2_B_7_G_12_G_12_G_12_G_12_G	_1_B_0_-_13_A_2_B_7_B_1_i_7_F_0_-_5_F_4_G_5_E_4_E_3_G	0-11	31-41	BjACBGBGGGGGBBbi	FDJDhjEbaiEbAAnAeeFbbecDhEAbgbGBABBiFFGEEG	0.653
5yax_B		_0_B_2_j_3_A_1_C_2_B_0_-_7_G_2_B_0_-_0_-_0_-_7_G_0_-_12_G_12_G_12_G_0_-_12_G_2_B_17_B	_3_D_0_-_7_A_2_A_4_E_4_b_1_G_4_C_3_C_6_A_3_C_5_E_11_D_6_D_12_E_2_E_4_b_2_G_4_D_2_E	0-13	4-22	BjACBGBGGGGGBBbi	DGGIDAAEbGCCACEDDEEbGDE	0.421
8gou_J		_3_A_1_C_2_B_7_G_2_B_7_G_12_G_0_-_12_G_12_G_12_G	_0_A_3_C_5_E_11_E_6_D_12_E_2_E_4_b_1_G_4_C_2_E	2-11	0-10	BjACBGBGGGGGBBbi	ACEEDEEbGCE	0.642
4lot_A		_3_A_1_C_2_B_0_-_7_G_0_-_2_B_7_G_12_G_12_G_12_G_0_-_12_G_2_B_17_B	_0_A_3_D_12_F_4_K_12_E_2_E_9_B_4_F_9_H_10_C_10_E_3_B_5_E_12_B_11_B	2-13	0-14	BjACBGBGGGGGBBbi	ADFKEEBFHCEBEBBEDC	0.560
1z27_A		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_0_-_7_G_0_-_12_G_0_-_12_G_12_G_12_G_2_B_17_B	_4_B_6_b_3_B_2_D_9_D_3_B_4_B_0_b_8_E_1_b_2_E_2_B_10_B_12_E_2_E_4_B_4_B	0-13	3-19	BjACBGBGGGGGBBbi	DDABbBDDBBbEbEBBEEBB	0.519
6n7j_L		_0_B_2_j_3_A_0_-_1_C_2_B_0_-_7_G_2_B_0_-_7_G_0_-_12_G_12_G_0_-_12_G_12_G_2_B_17_B_0_-_8_b	_0_C_0_-_2_C_5_F_9_D_6_D_3_A_7_E_2_E_4_b_2_E_6_A_3_D_7_D_3_d_2_J_4_E_2_B_3_D_9_I_0_d	0-14	0-19	BjACBGBGGGGGBBbi	CCFDDAEEbEADDdJEBDIdFE	0.387
3gue_B		_0_B_2_j_0_-_3_A_1_C_2_B_0_-_7_G_0_-_0_-_2_B_0_-_7_G_12_G_12_G_0_-_0_-_12_G_0_-_12_G_2_B_0_-_17_B_8_b_6_i	_4_D_4_i_1_c_7_B_3_A_1_A_12_c_0_A_3_i_2_f_4_E_9_i_3_F_8_E_6_E_0_b_2_f_7_I_0_i_9_E_9_E_2_e_4_D_2_b_6_g	0-15	11-35	BjACBGBGGGGGBBbi	klbAbEbbBAlDicBAAcAifEiFEEbfIiEEeDbgBBbCcfFBHBBC	0.353
8fzp_B		_0_B_2_j_3_A_0_-_1_C_2_B_7_G_2_B_0_-_7_G_0_-_12_G_12_G_0_-_12_G_12_G_2_B_17_B_0_-_8_b	_4_A_0_-_4_A_1_E_6_D_3_A_7_E_2_E_4_b_1_F_6_A_3_E_6_D_3_e_1_J_4_E_2_B_3_D_9_I_0_d	0-14	3-21	BjACBGBGGGGGBBbi	BDFAAEDAEEbFAEDeJEBDIdFEc	0.451
7si0_D		_1_C_2_B_7_G_2_B_0_-_7_G_12_G_0_-_12_G_12_G_0_-_12_G_2_B_17_B	_0_C_2_C_5_F_4_A_2_A_1_E_6_D_3_A_7_E_2_E_4_b_2_E_6_A_3_D	3-13	0-13	BjACBGBGGGGGBBbi	CCFAAEDAEEbEAD	0.542
6oq5_E		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_7_G_0_-_12_G_12_G	_0_B_0_-_3_A_5_E_10_E_5_F_16_C_5_E_4_b_1_E_8_E	0-9	0-9	BjACBGBGGGGGBBbi	BAEEFCEbEE	0.620
5aa5_I		_0_B_2_j_3_A_1_C_0_-_2_B_7_G_2_B_0_-_0_-_7_G_12_G_0_-_12_G_12_G_12_G_2_B_17_B_8_b_0_-_6_i	_6_C_16_e_6_C_2_C_2_e_1_C_52_E_4_B_7_j_7_B_3_E_8_E_6_t_15_H_2_I_2_G_0_-_0_-_1_d_11_e_16_g	0-15	17-35	BjACBGBGGGGGBBbi	DFbGcjlqddffoAAubCeCCeCEBjBEEtHIGdege	0.468
6bzv_F		_0_B_2_j_3_A_1_C_2_B_0_-_7_G_2_B_7_G_12_G_0_-_12_G_12_G_0_-_12_G_0_-_2_B_17_B	_6_D_0_-_3_A_7_D_3_E_4_b_1_F_6_A_3_E_6_D_3_e_1_J_4_E_8_D_9_I_0_c_4_F_7_E	0-13	6-22	BjACBGBGGGGGBBbi	CDFAAEDADEbFAEDeJEDIcFE	0.453
6dc9_L		_1_C_2_B_7_G_2_B_7_G_0_-_12_G_12_G_0_-_12_G_12_G_2_B_17_B_8_b	_0_C_2_C_5_F_7_E_6_D_3_A_7_E_2_E_4_b_1_F_6_A_3_D_8_D_5_b	3-14	0-13	BjACBGBGGGGGBBbi	CCFEDAEEbFADDbJEADIeFE	0.557
6x98_E		_1_C_2_B_7_G_2_B_7_G_12_G_12_G_12_G_12_G_2_B_17_B	_0_C_2_B_6_F_7_E_6_D_3_A_7_E_2_E_9_E_12_A_3_D	3-13	0-10	BjACBGBGGGGGBBbi	CBFEDAEEEAD	0.624
3mbe_G		_0_B_2_j_3_A_0_-_1_C_2_B_7_G_2_B_7_G_12_G_0_-_12_G_12_G_12_G_2_B_17_B	_0_C_0_-_2_D_4_F_6_E_9_B_2_D_2_E_4_E_8_G_7_B_4_D_8_E_7_E_15_B_16_E	0-13	0-14	BjACBGBGGGGGBBbi	CDFEBDEEGBDEEBE	0.540
4d61_i		_0_B_2_j_3_A_1_C_0_-_2_B_7_G_2_B_0_-_7_G_0_-_12_G_12_G_0_-_12_G_12_G_2_B	_4_A_23_f_12_G_5_D_5_A_3_C_4_I_2_A_2_A_4_F_11_B_7_J_11_E_2_K_6_C_9_G_16_E	0-12	15-31	BjACBGBGGGGGBBbi	GjkeeDFfFhiFfddAfGDACIAAFBJEKCGEK	0.451
8f2j_F		_0_B_2_j_3_A_0_-_0_-_1_C_2_B_7_G_2_B_0_-_7_G_0_-_12_G_12_G_0_-_12_G_12_G_2_B_17_B_0_-_0_-_8_b	_0_A_0_-_3_C_5_E_3_b_3_D_6_D_12_E_2_E_4_b_1_G_6_C_2_D_8_D_3_d_3_J_4_E_2_A_4_B_3_A_5_H_1_d	0-14	0-20	BjACBGBGGGGGBBbi	ACEbDDEEbGCDDdJEABAHdFF	0.378
5dq9_H		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_7_G_0_-_12_G_0_-_12_G_0_-_12_G_0_-_12_G_0_-_2_B_17_B_0_-_8_b	_0_D_0_-_3_A_5_G_8_E_5_F_6_B_7_E_0_b_1_E_4_b_1_G_9_C_3_D_8_D_10_J_4_D_6_C_3_B_2_J_0_b	0-14	0-19	BjACBGBGGGGGBBbi	DAGEFBEbEbGCDDJDCBJbEbE	0.436
7shu_A		_0_B_2_j_3_A_1_C_0_-_2_B_7_G_2_B_7_G_12_G_12_G_0_-_12_G_0_-_12_G_0_-_2_B_17_B	_8_B_0_-_7_C_15_B_2_d_3_D_4_D_9_C_2_G_4_E_2_A_2_b_1_A_3_A_5_E_4_e_3_E_9_D	0-13	1-17	BjACBGBGGGGGBBbi	aBCBdDDCGEAbAAEeED	0.421
2jd4_B		_0_B_2_j_3_A_1_C_0_-_0_-_2_B_0_-_0_-_7_G_2_B_7_G_12_G_12_G_12_G_12_G_2_B_0_-_0_-_17_B_8_b	_2_A_0_-_3_A_12_C_20_G_2_A_7_B_8_A_2_L_4_H_5_F_5_F_2_F_4_E_13_G_2_E_2_E_12_D_18_J_2_C_2_b	0-14	9-28	BjACBGBGGGGGBBbi	ADIFFFHGEAACGABALHFFFEGEEDJCbEA	0.485
6jp7_L		_3_A_1_C_0_-_2_B_7_G_2_B_0_-_7_G_0_-_12_G_0_-_12_G_0_-_0_-_12_G_12_G_2_B_17_B	_0_A_3_D_4_F_8_E_6_E_5_B_7_E_2_E_4_b_1_G_3_B_3_E_7_D_3_d_3_J_4_E_2_B_3_B	2-13	0-17	BjACBGBGGGGGBBbi	ADFEEBEEbGBEDdJEBBAHeFFb	0.470
8rki_A		_3_A_1_C_2_B_7_G_2_B_7_G_12_G_0_-_12_G_12_G_12_G_2_B_0_-_17_B_0_-_0_-_0_-_8_b_6_i	_0_C_3_F_14_B_13_F_6_C_3_I_15_I_28_D_18_G_7_J_9_E_3_A_1_d_4_B_6_F_14_G_11_A_7_b_1_f	2-15	0-18	BjACBGBGGGGGBBbi	CFBFCIIDGJEAdBFGAbf	0.499
2x29_A		_0_B_0_-_2_j_3_A_1_C_2_B_7_G_2_B_7_G_12_G_12_G_12_G_12_G_0_-_2_B_17_B	_0_B_6_D_0_-_7_A_2_A_22_B_3_F_2_B_7_G_5_F_4_A_3_F_3_G_2_c_2_B_5_E	0-13	0-14	BjACBGBGGGGGBBbi	BDAABFBGFAFGcBE	0.654
2w65_C		_1_C_2_B_7_G_0_-_2_B_7_G_0_-_0_-_12_G_12_G_0_-_12_G_0_-_12_G_2_B_0_-_17_B_8_b	_0_C_3_B_5_G_3_b_2_E_6_E_6_B_1_b_3_C_6_E_4_b_1_F_8_A_3_D_8_D_3_J_4_C_0_b	3-14	0-17	BjACBGBGGGGGBBbi	CBGbEEBbCEbFADDJCbAAIEE	0.433
4adf_R		_3_A_1_C_2_B_7_G_2_B_7_G_12_G_0_-_12_G_0_-_12_G_0_-_0_-_12_G_2_B_17_B	_0_B_4_E_10_E_7_E_4_B_7_E_2_E_4_b_1_H_2_P_8_I_2_D_3_A_5_H_7_F_2_F	2-13	0-15	BjACBGBGGGGGBBbi	BEEEBEEbHPIDAHFF	0.476
5cus_K		_1_C_2_B_7_G_0_-_2_B_7_G_12_G_12_G_12_G_0_-_12_G_2_B_17_B	_0_D_3_A_5_G_3_b_2_E_5_F_6_B_7_E_4_E_4_b_1_G_5_B_5_C	3-13	0-12	BjACBGBGGGGGBBbi	DAGbEFBEEbGBCDABEA	0.616
8g0o_A		_2_j_3_A_1_C_2_B_7_G_0_-_2_B_0_-_7_G_12_G_12_G_12_G_12_G_2_B_17_B_0_-_0_-_0_-_0_-_8_b_0_-_0_-_6_i	_11_j_11_B_4_D_4_D_25_D_11_c_9_B_10_b_8_E_2_H_6_G_4_H_5_I_6_B_2_B_3_C_3_C_3_D_4_J_0_c_11_J_5_F_3_g	1-15	24-46	BjACBGBGGGGGBBbi	kbnmmajkAbAmkABAiiAAbdmmjBDDDcBbEHGHIBBCCDJcJFgDFFBBGFFDDFE	0.448
3nqb_B		_2_j_3_A_1_C_2_B_7_G_2_B_7_G_12_G_12_G_12_G_12_G_2_B_17_B_8_b_6_i	_2_j_0_-_4_E_2_C_0_-_4_C_0_-_1_D_0_-_2_E_7_E_4_C_1_B_3_b_3_h	1-15	1-11	BjACBGBGGGGGBBbi	bjECCDEECBbhEfjEgChAeAcDkCfigeCEDbbGIABAACDgBCldAB	0.518
7f5k_C		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_7_G_12_G_0_-_12_G_0_-_12_G_12_G_2_B_0_-_17_B	_0_B_0_-_3_D_4_F_6_F_5_F_3_D_2_E_4_E_4_b_1_G_7_A_3_E_8_E_7_E_16_A_3_B	0-13	0-15	BjACBGBGGGGGBBbi	BDFFFDEEbGAEEEABF	0.538
5c14_B		_0_B_2_j_3_A_1_C_0_-_2_B_7_G_2_B_7_G_12_G_12_G_12_G_12_G_2_B_17_B	_3_B_0_-_4_I_8_F_2_G_4_D_8_G_4_B_3_E_5_C_9_F_8_G_5_G_5_F_7_G	0-13	1-14	BjACBGBGGGGGBBbi	IBIFGDGBECFGGFG	0.561
7rdv_C		_3_A_1_C_2_B_0_-_7_G_2_B_7_G_12_G_0_-_12_G_0_-_0_-_12_G_0_-_12_G_2_B_17_B	_0_B_3_D_4_F_4_H_5_G_4_C_2_E_4_E_4_b_1_C_1_C_6_A_3_E_8_C_7_E_15_B_3_B	2-13	0-16	BjACBGBGGGGGBBbi	BDFHGCEEbCCAECEBBG	0.455
8iqp_l		_1_C_2_B_7_G_2_B_7_G_12_G_12_G_12_G_0_-_12_G_2_B_17_B_8_b_6_i	_0_C_2_C_5_F_12_E_6_D_3_A_7_E_2_E_4_b_1_F_6_A_3_D_6_d_2_h	3-15	0-13	BjACBGBGGGGGBBbi	CCFEDAEEbFADdhr	0.588
