2hv6_A	_0_b_7_i_4_e_3_c_3_l	_3_c_7_i_7_d_1_f_4_j	0.630
1pbu_A	_0_b_7_i_0_-_4_e_0_-_3_c_3_l_0_-_2_D_2_D	_0_b_8_i_2_b_1_e_8_D_4_b_6_k_1_b_0_B_2_B	0.515
5d5p_C	_7_i_0_-_4_e_0_-_3_c_3_l_2_D_2_D	_8_j_3_C_4_j_6_C_5_d_3_j_4_F_7_F	0.428
6fzh_A	_0_b_0_-_0_-_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_2_b_3_G_5_H_5_i_5_C_5_c_0_-_6_C_0_b_1_D	0.372
2ida_A	_4_e_3_c_0_-_3_l_2_D_2_D	_0_d_11_c_8_C_15_h_3_C_6_C	0.525
5c8h_A	_7_i_4_e_0_-_3_c_3_l_2_D_2_D	_0_g_4_l_9_A_0_i_6_k_4_C_5_C	0.443
1u60_A	_7_i_4_e_3_c_3_l_2_D	_1_f_12_e_10_i_5_l_4_A	0.551
4y7e_A	_0_b_7_i_4_e_3_c_0_-_3_l_2_D_0_-_2_D	_0_b_11_i_0_-_1_c_6_C_10_m_6_C_10_j_6_F	0.584
1ciy_A	_0_b_0_-_7_i_4_e_3_c_3_l_2_D_2_D	_1_b_3_t_4_k_5_b_2_c_0_-_8_A_5_C	0.475
6g09_A	_0_b_7_i_4_e_3_c_3_l_0_-_2_D_2_D	_5_b_2_i_2_o_24_c_5_l_5_k_7_A_5_B	0.560
3ifq_A	_0_b_7_i_0_-_4_e_3_c_0_-_3_l	_3_h_2_i_3_m_3_f_2_c_1_d_3_l	0.419
5ury_A	_0_b_0_-_7_i_4_e_3_c_3_l	_3_b_6_A_10_m_5_h_0_-_15_m	0.366
5wxv_A	_0_b_7_i_4_e_0_-_3_c_3_l_2_D_0_-_0_-_0_-_2_D	_0_b_0_-_11_b_0_E_3_c_9_m_3_D_6_c_2_d_11_b_6_C	0.404
5mf0_B	_7_i_4_e_3_c_3_l_2_D_2_D	_0_h_8_k_0_-_4_j_10_B_6_B	0.369
4hec_B	_0_b_7_i_4_e_3_c_0_-_3_l_2_D	_4_b_0_-_2_e_1_b_8_A_1_j_7_E	0.538
4n0l_A	_0_b_7_i_4_e_3_c_3_l_2_D	_4_g_11_i_13_e_11_d_16_f_11_B	0.569
2qts_C	_0_b_0_-_7_i_4_e_3_c_0_-_0_-_3_l_2_D_2_D	_5_b_2_f_20_i_12_g_3_c_0_E_2_A_2_b_0_E_2_E	0.462
2ogf_A	_0_b_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_0_b_0_-_1_d_0_-_6_n_3_A_4_i_6_F	0.412
1l7a_A	_7_i_0_-_4_e_3_c_3_l_0_-_2_D_0_-_2_D	_1_j_5_D_6_f_7_g_3_j_3_f_4_E_7_i_4_E	0.360
6py1_A	_7_i_0_-_4_e_3_c_3_l_2_D_0_-_2_D	_6_i_3_A_5_h_0_-_0_-_6_E_6_A_31_C	0.366
4avy_A	_7_i_0_-_4_e_3_c_3_l_2_D_0_-_0_-_2_D	_5_i_5_C_6_d_1_g_5_l_1_E_2_b_7_p_1_G	0.391
1gx1_A	_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_7_k_5_c_5_b_4_k_3_I_12_e_6_E	0.448
2keo_A	_0_b_7_i_4_e_3_c_3_l_2_D	_7_b_4_i_3_b_1_c_0_-_0_D	0.642
3d6i_A	_7_i_4_e_0_-_3_c_3_l_2_D_2_D	_4_k_1_b_3_E_4_e_0_-_7_E_2_E	0.452
2g9w_A	_0_b_7_i_4_e_0_-_3_c_3_l_2_D_2_D	_0_b_0_-_2_d_10_A_0_g_12_f_3_C_3_C	0.458
4xaf_A	_0_b_7_i_0_-_4_e_3_c_3_l_2_D_0_-_0_-_0_-_2_D	_3_b_3_j_2_B_10_c_3_h_25_m_3_C_2_b_2_i_4_b_0_C	0.417
2bib_A	_0_b_7_i_0_-_4_e_0_-_0_-_3_c_0_-_3_l_0_-_2_D_2_D	_24_b_2_i_8_A_5_c_2_f_4_B_5_b_3_b_3_k_3_B_8_C_2_E	0.412
6ice_C	_0_b_7_i_4_e_3_c_3_l_2_D_2_D	_3_b_4_k_0_-_3_b_0_-_1_D_14_F	0.478
1aor_A	_0_b_7_i_4_e_3_c_3_l_2_D_2_D	_7_c_1_i_16_c_1_f_0_-_1_D_9_E	0.620
3e3u_A	_0_b_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_4_b_18_k_4_B_0_c_0_-_5_D_11_J_13_B	0.451
4ooc_A	_0_b_7_i_4_e_0_-_3_c_3_l_2_D_2_D	_2_b_4_j_2_d_2_K_3_b_0_-_2_G_4_G	0.507
4n0w_A	_0_b_7_i_0_-_4_e_3_c_0_-_0_-_3_l_2_D_0_-_2_D	_0_c_1_l_1_A_9_f_2_c_4_A_2_A_5_m_3_B_5_j_5_D	0.418
6a05_A	_7_i_0_-_4_e_0_-_3_c_3_l_2_D_2_D	_0_g_5_m_1_c_7_E_8_c_0_-_3_E_3_D	0.497
2i47_A	_7_i_4_e_0_-_3_c_3_l_2_D_0_-_0_-_2_D	_29_j_1_c_4_E_4_b_0_-_2_B_17_B_4_B_3_D	0.373
4nfy_B	_7_i_0_-_4_e_0_-_3_c_0_-_3_l_0_-_2_D_0_-_2_D	_5_f_4_C_6_e_5_C_9_e_3_B_6_l_1_b_11_D_3_j_3_D	0.384
1na5_A	_0_b_0_-_7_i_0_-_0_-_4_e_3_c_0_-_3_l	_7_b_6_G_10_i_2_G_1_b_6_e_4_b_1_C_2_l	0.352
1ot8_A	_0_b_7_i_4_e_3_c_3_l	_14_f_3_g_16_f_5_f_14_f	0.378
4d97_B	_0_b_7_i_0_-_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_7_d_1_g_3_C_6_k_4_B_2_b_6_k_5_E_3_k_4_E	0.384
2voa_A	_0_b_7_i_0_-_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_3_b_7_j_4_A_0_d_26_D_1_c_0_-_2_E_2_c_9_D	0.557
5j3e_B	_0_b_0_-_7_i_4_e_3_c_3_l_2_D	_1_c_18_L_0_k_2_c_1_c_0_-_5_C	0.498
3r0a_A	_7_i_4_e_3_c_0_-_0_-_3_l_2_D_2_D	_2_h_3_d_2_c_5_A_0_g_3_k_3_F_5_F	0.526
5f1a_A	_0_b_7_i_4_e_3_c_3_l	_8_d_3_i_2_b_2_f_10_l	0.633
6xnu_A	_0_b_0_-_7_i_0_-_0_-_4_e_0_-_3_c_0_-_3_l_2_D_2_D	_0_b_3_A_4_j_3_D_4_F_0_f_7_d_3_c_6_A_5_i_2_D_4_F	0.389
1u8x_X	_0_b_7_i_0_-_4_e_3_c_3_l_0_-_0_-_2_D_2_D	_8_h_10_i_5_A_1_f_13_c_31_j_6_A_15_A_1_C_2_C	0.462
6ojt_B	_0_b_0_-_0_-_7_i_4_e_3_c_3_l_2_D_2_D	_12_b_2_H_2_G_3_h_10_b_2_b_0_-_10_D_2_D	0.501
1i19_A	_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_4_i_2_A_11_e_23_c_0_-_0_H_4_F	0.539
1ze3_C	_4_e_0_-_3_c_3_l_2_D_2_D	_3_d_7_I_7_b_1_b_1_C_3_E	0.399
2fhf_A	_0_b_7_i_0_-_0_-_4_e_3_c_0_-_3_l_2_D_2_D	_2_b_2_j_6_C_24_B_1_g_9_c_3_b_13_l_7_B_5_B	0.521
2b8t_A	_0_b_0_-_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_3_b_14_B_3_g_9_C_2_b_3_j_3_D_13_f_2_C	0.436
1z7s_3	_4_e_0_-_3_c_3_l_2_D_2_D	_0_c_4_A_12_c_0_-_0_D_8_C	0.535
2vo9_A	_7_i_4_e_3_c_3_l_2_D_0_-_0_-_2_D	_0_j_0_-_0_-_6_l_5_D_4_h_18_c_2_F	0.438
1ux8_A	_0_b_7_i_4_e_3_c_3_l	_4_b_5_k_5_e_4_d_6_m	0.820
2cw9_A	_7_i_4_e_3_c_0_-_3_l_2_D_2_D	_10_h_5_f_5_e_5_f_2_l_3_A_3_H	0.499
1qll_A	_7_i_4_e_3_c_3_l_2_D_2_D	_0_j_0_-_3_d_17_k_13_B_4_B	0.560
3q7z_A	_0_b_0_-_7_i_4_e_0_-_3_c_3_l_2_D_2_D	_20_b_5_f_2_i_2_j_20_A_0_k_6_j_0_C_3_J	0.353
6vn7_R	_0_b_0_-_7_i_4_e_3_c_3_l	_10_c_4_q_4_h_2_c_1_d_9_n	0.496
6cqf_A	_0_b_7_i_4_e_3_c_3_l	_9_f_18_i_10_c_3_c_6_j	0.646
4ghk_A	_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_1_j_0_-_5_d_5_k_7_E_5_G_2_D	0.639
3boe_A	_0_b_7_i_4_e_3_c_3_l_2_D_2_D	_4_b_0_-_1_f_4_b_8_i_3_D_8_C	0.581
5u2i_B	_0_b_7_i_0_-_4_e_0_-_3_c_3_l_2_D	_1_b_5_g_4_F_3_h_4_b_5_d_3_b_2_B	0.409
3ban_A	_0_b_0_-_7_i_4_e_3_c_3_l_2_D_2_D	_9_d_6_C_12_j_4_E_5_c_5_l_5_C_11_D	0.560
3ap3_D	_7_i_0_-_4_e_3_c_3_l_2_D_0_-_2_D	_6_i_3_A_6_k_5_d_5_n_5_D_1_k_4_E	0.505
2zkt_A	_0_b_0_-_7_i_0_-_4_e_3_c_3_l_2_D_0_-_2_D	_4_b_4_c_3_h_1_E_9_g_4_c_3_g_9_D_3_A_2_B	0.461
1bli_A	_0_b_0_-_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_3_c_4_C_20_i_4_D_0_d_0_-_13_k_5_C_5_E	0.537
2exn_A	_4_e_0_-_0_-_3_c_3_l_2_D_2_D	_2_d_4_D_4_A_5_c_0_-_2_C_3_D	0.461
4e4g_H	_7_i_4_e_3_c_3_l_2_D_2_D	_2_f_2_f_7_c_3_p_15_D_2_D	0.691
4b5m_A	_0_b_7_i_0_-_4_e_0_-_3_c_3_l_2_D_2_D	_6_b_14_j_5_A_0_d_25_D_1_d_0_-_1_E_11_D	0.635
2al1_A	_0_b_0_-_0_-_7_i_0_-_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_10_b_3_k_2_D_7_g_5_C_7_h_5_C_1_c_2_k_3_D_9_g_4_B	0.385
1frf_S	_4_e_3_c_0_-_3_l_2_D_2_D	_5_e_7_b_6_C_8_k_5_D_1_B	0.588
4uwo_B	_7_i_0_-_4_e_3_c_0_-_3_l_0_-_2_D_2_D	_5_k_4_D_5_c_2_e_3_C_1_i_6_A_9_C_2_C	0.360
1vpx_F	_7_i_0_-_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_2_j_4_E_2_i_3_D_0_e_4_l_4_D_4_h_4_C	0.461
4fo7_A	_7_i_4_e_3_c_3_l_2_D_2_D	_6_i_8_A_4_b_0_-_5_C_2_B	0.354
2j4b_A	_7_i_4_e_3_c_3_l_2_D_0_-_0_-_2_D	_3_k_2_f_5_e_1_g_2_E_0_k_3_i_0_E	0.370
6vzi_B	_0_b_7_i_4_e_0_-_3_c_3_l	_0_b_0_-_4_d_11_p_33_f_4_o	0.378
1j7j_A	_7_i_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_3_j_0_-_5_H_1_b_0_-_8_D_5_B_14_D	0.420
4mhx_A	_0_b_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_7_b_7_f_3_F_6_e_5_c_20_f_3_E_13_C	0.606
1olt_A	_0_b_7_i_0_-_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_2_b_2_k_2_J_7_g_4_F_3_f_5_k_6_E_6_k_3_E	0.418
5t51_B	_0_b_7_i_4_e_3_c_0_-_3_l	_1_c_0_-_3_c_2_d_1_t_2_m	0.465
3nvs_A	_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_7_i_4_C_2_d_0_-_4_j_3_C_3_D	0.614
4r9n_A	_7_i_0_-_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_3_h_9_C_7_i_3_A_14_d_1_j_4_B_16_h_2_D	0.408
3nei_A	_0_b_7_i_0_-_4_e_3_c_0_-_3_l_2_D_0_-_2_D	_5_b_2_h_2_C_1_b_2_e_5_C_5_k_4_D_10_g_5_C	0.488
1nd6_A	_0_b_7_i_0_-_4_e_0_-_0_-_3_c_3_l_2_D_0_-_2_D	_1_b_11_j_1_o_6_c_5_g_10_n_4_f_2_l_6_E_1_i_13_H	0.364
2f7d_A	_0_b_7_i_0_-_4_e_3_c_3_l_2_D_0_-_0_-_2_D	_5_b_3_j_2_B_0_b_13_b_0_-_0_B_4_B_5_i_3_D	0.418
4q3u_D	_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_10_i_2_f_3_F_19_n_4_D_2_k_4_D	0.487
4l5h_A	_0_b_7_i_4_e_3_c_3_l_2_D_2_D	_2_c_3_c_11_h_10_c_0_-_1_C_4_D	0.537
2nra_C	_7_i_4_e_0_-_3_c_3_l_0_-_2_D_2_D	_0_h_2_j_13_C_0_g_3_m_8_g_10_F_4_E	0.396
5zji_F	_0_b_7_i_4_e_3_c_3_l	_6_b_5_q_6_c_3_f_1_l	0.508
3ziz_A	_0_b_7_i_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_13_b_0_-_7_d_7_D_1_c_3_m_3_E_5_k_5_E	0.583
2ii1_C	_7_i_4_e_3_c_3_l_2_D_2_D	_2_i_2_e_4_c_2_c_1_E_5_E	0.707
2gko_A	_0_b_0_-_0_-_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_10_b_0_E_7_A_8_i_16_E_0_-_9_m_3_D_8_j_3_D	0.405
1lng_A	_0_b_7_i_4_e_3_c_0_-_3_l	_1_b_23_i_5_B_5_b_6_B_6_j	0.405
3ust_A	_0_b_7_i_4_e_3_c_3_l	_3_b_8_e_2_f_19_c_17_m	0.758
6gkr_C	_0_b_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_1_b_5_j_5_C_3_d_0_-_0_-_3_E_3_G	0.460
2p9m_A	_0_b_0_-_7_i_0_-_0_-_4_e_0_-_3_c_3_l_2_D_2_D	_0_b_7_A_4_e_7_D_4_F_0_g_20_A_4_e_0_-_7_D_4_F	0.350
4ibn_A	_4_e_3_c_3_l_2_D_0_-_2_D	_2_d_5_e_12_j_3_E_7_l_7_A	0.448
1nee_A	_0_b_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_2_g_3_j_11_C_6_i_1_d_0_-_10_B_4_B	0.442
1tdj_A	_7_i_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_4_g_23_e_5_D_1_k_6_m_5_D_9_k_2_F	0.451
3rbn_A	_7_i_0_-_4_e_3_c_3_l_0_-_2_D_2_D	_0_l_5_I_0_c_6_b_8_l_3_c_2_A_4_F	0.380
7bxs_B	_0_b_7_i_4_e_3_c_3_l_2_D_0_-_0_-_2_D	_8_b_1_k_0_-_7_c_3_k_3_D_2_e_2_c_5_D	0.589
1f6w_A	_0_b_7_i_0_-_4_e_3_c_0_-_3_l_2_D_0_-_2_D	_13_g_5_j_7_E_20_c_2_c_1_b_2_n_23_C_5_b_0_A	0.409
4zia_A	_0_b_7_i_4_e_3_c_0_-_3_l	_6_e_7_e_1_e_2_c_3_p_3_m	0.498
1c1y_B	_7_i_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_6_i_5_b_0_F_0_b_0_-_2_D_5_c_3_F	0.433
2ihw_A	_0_b_7_i_4_e_0_-_3_c_3_l_2_D_2_D	_2_b_2_l_6_c_4_D_0_b_0_-_15_D_3_E	0.553
2i0o_A	_7_i_4_e_3_c_3_l_0_-_0_-_2_D_2_D	_5_l_0_-_1_c_3_l_3_j_9_I_2_F_3_E	0.389
2z0j_A	_7_i_0_-_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_4_i_4_C_3_d_7_C_15_e_0_-_6_D_3_h_4_D	0.454
1r6t_A	_0_b_0_-_7_i_4_e_3_c_3_l	_5_c_5_D_26_j_8_f_11_c_3_k	0.566
2ap9_A	_7_i_4_e_0_-_3_c_0_-_3_l_2_D_0_-_2_D	_6_h_4_b_2_E_3_c_19_f_7_g_6_D_2_b_1_D	0.382
3jcb_I	_7_i_4_e_3_c_3_l_2_D_2_D	_9_h_0_-_21_b_1_m_13_B_13_H	0.458
1tjv_A	_0_b_7_i_4_e_3_c_3_l	_4_b_2_d_7_e_2_d_10_n	0.648
4x9p_A	_0_b_7_i_4_e_3_c_3_l	_3_g_2_j_2_j_3_h_3_l	0.458
3ovw_A	_0_b_0_-_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_1_c_1_A_21_f_1_A_4_e_0_-_0_-_2_C_2_D	0.426
1jc9_A	_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_0_e_6_D_4_c_0_-_2_E_2_b_2_F	0.431
1i6u_A	_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_0_k_4_C_4_g_0_-_0_-_9_C_6_D	0.350
3ejn_A	_0_b_7_i_0_-_4_e_3_c_3_l	_7_b_3_g_3_b_7_h_19_e_1_j	0.524
2uwf_A	_0_b_7_i_4_e_3_c_3_l_2_D_2_D	_1_b_2_i_2_C_5_c_9_k_2_C_3_A	0.587
5ojg_A	_0_b_7_i_4_e_3_c_3_l_2_D_0_-_0_-_2_D	_10_b_2_g_0_-_0_-_5_l_3_E_2_b_7_p_1_G	0.441
5w0p_A	_0_b_7_i_4_e_0_-_3_c_3_l_0_-_2_D_2_D	_1_b_5_j_6_h_5_u_2_d_2_n_1_c_4_C_4_C	0.556
6hs9_A	_0_b_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_3_b_0_-_0_-_5_c_4_k_3_E_3_k_4_D	0.545
1wdp_A	_0_b_7_i_0_-_4_e_3_c_3_l_2_D_0_-_2_D	_13_e_11_g_4_C_6_b_2_b_3_k_4_C_7_j_16_C	0.468
5xm3_A	_0_b_7_i_4_e_0_-_0_-_3_c_3_l_2_D_2_D	_10_b_4_c_3_e_9_B_4_D_8_b_0_-_9_E_5_E	0.470
1e8q_A	_0_b_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_0_b_3_A_0_-_3_b_0_-_2_D_2_E_2_D	0.354
1ehi_A	_0_b_0_-_7_i_4_e_0_-_0_-_3_c_3_l_2_D_2_D	_12_c_6_D_9_g_9_g_1_h_8_C_3_c_2_g_3_D_8_C	0.416
4i62_A	_0_b_7_i_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_0_b_0_-_6_c_3_D_3_h_0_-_4_D_2_h_5_D	0.440
4kpc_A	_0_b_7_i_0_-_4_e_3_c_0_-_3_l	_1_b_5_g_4_F_3_h_12_d_8_B_3_j	0.430
1yq2_A	_7_i_0_-_4_e_3_c_3_l_2_D_0_-_0_-_2_D	_6_i_2_D_5_b_8_b_1_m_5_D_8_k_5_A_12_C	0.444
4ofa_A	_0_b_7_i_4_e_3_c_0_-_3_l	_0_c_3_i_5_k_3_c_4_j_2_m	0.473
2rcn_A	_0_b_7_i_4_e_3_c_3_l	_1_c_8_e_2_e_17_g_4_l	0.634
4fch_A	_0_b_7_i_4_e_0_-_0_-_0_-_3_c_3_l_2_D_2_D	_0_b_0_-_7_b_11_A_7_A_1_C_5_c_0_-_0_D_2_C	0.389
1a4i_B	_7_i_0_-_4_e_3_c_0_-_3_l_2_D_0_-_2_D	_5_k_5_C_11_e_3_b_6_g_10_j_8_D_6_i_3_D	0.427
1bd0_A	_7_i_0_-_4_e_0_-_3_c_3_l_2_D_2_D	_11_k_8_B_3_e_7_C_1_c_5_e_8_E_2_D	0.480
1wyp_A	_0_b_7_i_0_-_4_e_3_c_3_l	_10_c_2_i_14_m_3_b_3_d_5_m	0.555
2bjr_A	_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_2_c_2_E_4_c_0_-_2_D_1_b_14_E	0.449
3gnt_B	_7_i_0_-_4_e_3_c_3_l_2_D_0_-_2_D	_8_j_3_C_6_f_0_-_19_l_4_C_6_g_7_F	0.493
2v78_A	_0_b_7_i_4_e_0_-_3_c_3_l_2_D_0_-_0_-_2_D	_5_b_2_b_2_d_3_D_0_e_1_k_3_C_4_b_3_k_2_E	0.438
3ctm_A	_0_b_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_1_b_9_h_0_-_0_-_6_l_3_D_10_o_5_F	0.565
1zbx_B	_0_b_7_i_4_e_0_-_3_c_3_l_2_D_0_-_0_-_2_D	_5_d_2_g_6_c_6_B_2_e_0_-_3_F_5_A_4_I_5_E	0.400
6izg_A	_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_4_j_0_-_4_b_0_-_1_B_12_f_4_C	0.351
6dtr_A	_0_b_7_i_4_e_3_c_0_-_3_l	_2_d_1_e_1_d_1_c_2_A_7_l	0.613
3lby_A	_7_i_0_-_4_e_3_c_3_l_2_D_0_-_2_D	_0_i_7_C_6_h_2_E_2_k_5_D_2_e_5_F	0.364
3bi1_A	_0_b_0_-_7_i_4_e_3_c_3_l_2_D_2_D	_20_b_9_n_7_n_3_e_5_p_3_l_18_C_2_F	0.461
6yeh_E	_0_b_0_-_0_-_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_3_b_2_m_5_C_6_l_3_b_5_b_8_l_9_D_3_j_3_E	0.436
4zwl_A	_7_i_4_e_3_c_3_l_2_D_2_D	_6_k_13_i_5_D_2_k_2_D_5_C	0.469
7k9s_A	_0_b_7_i_4_e_3_c_3_l_0_-_2_D_2_D	_6_f_3_k_5_f_2_f_0_-_1_H_5_E_4_E	0.402
5jbh_O	_0_b_7_i_4_e_3_c_3_l_2_D_2_D	_4_e_7_i_12_j_1_c_0_-_9_B_3_B	0.518
1b1y_A	_0_b_0_-_0_-_7_i_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_8_b_1_s_5_E_12_e_11_f_5_C_6_b_8_k_4_B_8_j_16_C	0.354
1ry6_A	_7_i_4_e_0_-_3_c_3_l_0_-_2_D_0_-_2_D	_5_g_1_i_2_F_6_e_12_l_5_J_2_C_8_b_3_B	0.414
1vlj_A	_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_4_i_4_E_3_c_2_j_3_D_8_k_4_E	0.481
5jzj_B	_7_i_4_e_0_-_3_c_3_l_2_D_2_D	_6_g_4_n_2_A_5_b_0_-_0_D_5_D	0.469
1tdq_B	_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_1_i_3_A_0_-_5_j_3_E_8_A_23_F	0.389
1v9n_A	_7_i_4_e_3_c_3_l_2_D_2_D	_1_k_4_j_7_b_1_k_9_E_2_D	0.652
3bq1_A	_7_i_4_e_0_-_0_-_3_c_0_-_0_-_3_l_2_D_2_D	_2_h_1_b_4_D_9_D_1_d_8_f_4_C_2_l_4_E_2_D	0.382
2n4i_A	_4_e_0_-_3_c_3_l_2_D_2_D	_9_c_3_C_1_d_0_-_1_F_8_G	0.388
2v3q_A	_0_b_0_-_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_13_b_12_B_1_i_7_A_4_c_3_d_6_A_2_B_2_B	0.497
3cx5_B	_0_b_7_i_0_-_4_e_3_c_3_l_2_D_0_-_2_D	_4_b_5_j_2_k_17_j_2_b_0_-_0_E_3_i_24_D	0.492
1y8z_A	_0_b_7_i_0_-_4_e_3_c_0_-_3_l	_5_b_6_h_2_D_0_e_9_b_5_B_1_l	0.533
3kzu_A	_7_i_0_-_0_-_4_e_3_c_3_l_0_-_2_D	_6_h_5_B_12_B_13_b_3_c_4_m_6_d_1_E	0.353
4fop_A	_0_b_7_i_4_e_3_c_3_l_2_D_2_D	_3_b_1_i_0_-_4_b_0_-_0_F_7_D	0.541
1ppj_E	_0_b_0_-_0_-_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_1_b_5_E_2_F_2_g_0_-_12_b_0_-_6_D_10_A_5_D	0.442
6nz8_A	_0_b_0_-_7_i_4_e_3_c_3_l_0_-_2_D_2_D	_19_b_5_f_2_j_1_j_13_c_6_j_7_h_2_C_3_H	0.467
4m0n_A	_4_e_3_c_0_-_3_l_0_-_2_D_0_-_2_D	_2_c_1_c_1_G_0_j_3_B_8_F_3_j_2_D	0.355
3etn_A	_0_b_7_i_0_-_4_e_3_c_0_-_3_l_2_D_0_-_2_D	_2_d_2_f_4_B_4_c_1_c_5_D_6_k_4_E_5_d_2_C	0.469
3ttk_A	_0_b_0_-_7_i_4_e_3_c_0_-_0_-_3_l_2_D_0_-_2_D	_6_b_2_K_1_g_9_c_1_g_3_B_3_j_8_m_2_A_3_g_4_D	0.374
3ckd_B	_0_b_7_i_4_e_3_c_0_-_3_l	_6_h_2_j_2_g_2_c_6_g_2_j	0.403
5lj5_A	_7_i_4_e_0_-_0_-_3_c_3_l_2_D_2_D	_1_g_14_e_2_E_3_F_2_k_29_l_13_D_6_D	0.503
1p9k_A	_7_i_4_e_3_c_3_l_2_D_2_D	_8_g_10_g_0_A_0_-_15_D_2_F	0.405
1x9z_A	_0_b_0_-_7_i_4_e_3_c_3_l_2_D	_0_b_4_j_7_i_10_j_1_d_0_-_6_B	0.536
2ilr_A	_0_b_7_i_4_e_3_c_3_l	_1_b_2_k_6_g_5_d_6_k	0.703
6o6q_A	_0_b_7_i_4_e_3_c_0_-_0_-_0_-_3_l_2_D_2_D	_0_b_0_-_2_c_1_b_10_H_3_G_5_F_5_j_9_D_4_D	0.414
1fcd_A	_7_i_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_4_e_4_c_0_A_2_c_0_-_3_C_3_B_6_C	0.478
6czx_A	_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_9_i_3_b_4_b_5_m_5_E_2_k_5_E	0.598
6l6p_A	_0_b_7_i_4_e_3_c_0_-_0_-_3_l_2_D_2_D	_10_f_20_i_12_g_3_c_0_E_2_A_2_b_0_E_2_E	0.455
1fdr_A	_0_b_7_i_0_-_0_-_4_e_3_c_0_-_3_l_2_D	_2_b_3_i_4_F_7_B_2_e_2_e_8_F_1_l_12_D	0.537
7pps_A	_7_i_0_-_4_e_0_-_3_c_0_-_3_l_0_-_2_D	_5_i_5_A_1_d_6_B_5_c_2_c_4_m_3_c_4_E	0.398
1x1i_A	_0_b_0_-_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_1_b_1_d_5_l_7_l_5_c_2_j_12_D_0_b_1_E	0.464
6oc6_A	_0_b_7_i_4_e_3_c_3_l_2_D_2_D	_6_b_0_-_0_-_4_c_9_B_4_D_20_D	0.394
2wnf_A	_0_b_0_-_7_i_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_9_c_8_A_18_i_20_b_2_A_1_e_14_j_2_D_19_k_4_B	0.470
2po3_A	_7_i_0_-_4_e_0_-_3_c_3_l_2_D_0_-_0_-_2_D	_5_g_3_D_10_f_4_F_1_b_4_i_3_D_7_A_2_A_6_D	0.365
6jd6_A	_0_b_7_i_4_e_0_-_3_c_3_l	_14_f_3_h_14_f_3_h_14_e_7_i	0.357
5kzw_A	_7_i_4_e_3_c_0_-_3_l_2_D_0_-_0_-_2_D	_4_j_0_-_7_c_2_A_7_k_6_C_1_b_16_i_3_E	0.430
2o57_A	_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_0_h_1_k_13_b_2_l_9_D_5_i_2_E	0.563
2iv0_A	_7_i_0_-_4_e_3_c_0_-_3_l_0_-_2_D_2_D	_1_g_8_F_0_i_1_b_2_C_1_k_3_b_1_E_2_E	0.392
1nq7_A	_7_i_4_e_0_-_3_c_3_l_0_-_2_D_2_D	_4_f_6_h_2_p_2_c_3_p_0_A_4_C_2_C	0.398
1nst_A	_0_b_7_i_4_e_0_-_0_-_3_c_3_l_0_-_2_D_2_D	_2_d_7_k_1_h_4_b_0_D_0_e_1_j_8_b_0_C_4_D	0.417
