3cwb_F	_9_b_2_d_8_n_3_b_13_c_5_c_21_k	_3_b_5_h_2_n_5_b_0_-_3_b_5_m	0.576
6f1j_B	_0_G_4_F_2_H_0_l_0_-_11_G_0_-_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_0_-_2_d	_11_F_3_F_4_G_0_b_9_D_7_G_4_H_4_G_0_-_0_-_7_A_0_-_23_D_0_-_9_A_1_b_1_E_8_b	0.383
6sl4_A	_0_G_0_-_0_-_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_0_-_0_-_5_b_0_B_5_B	_1_F_5_A_0_b_0_F_7_G_3_b_0_J_2_H_1_b_0_-_1_A_4_I_5_A_0_-_19_D_2_C	0.370
3jst_A	_4_F_2_H_0_l_11_G_5_F_9_c_4_n	_5_A_6_E_3_m_4_D_2_E_2_b_4_l	0.549
1xrk_A	_0_G_0_-_4_F_2_H_0_l_11_G_0_-_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A	_0_C_2_e_8_D_3_E_0_-_2_F_6_b_1_E_2_g_0_-_14_A_0_-_3_B_2_F_5_F	0.379
4fet_B	_9_b_2_d_8_n_3_b_13_c_5_c_21_k_0_-_4_b	_0_c_2_f_4_l_0_-_7_d_6_c_9_j_10_B_8_c	0.544
5f4c_A	_5_B_6_A_9_b_2_d_8_n_3_b_13_c_0_-_5_c_21_k	_0_D_0_-_0_b_0_-_3_j_3_b_3_h_7_E_3_e_1_k	0.482
4fm4_A	_0_l_0_-_0_-_11_G_5_F_0_-_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d	_3_k_1_h_1_f_10_E_4_E_6_c_4_c_1_e_0_-_4_f_9_E_4_E_0_-_11_d_4_d	0.353
2psq_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k	_0_F_6_G_9_G_6_l_9_D_6_D_6_f_10_n_2_A_5_b_0_B_5_B_6_A_16_b_2_d_5_l_11_h_12_i_4_b_3_l	0.728
4o6a_A	_0_G_4_F_2_H_0_-_0_-_0_l_11_G_5_F_0_-_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_0_-_21_k_4_b	_13_H_3_D_6_E_9_b_4_A_1_l_6_C_8_F_3_J_5_b_11_f_4_D_9_b_1_C_0_-_0_-_0_-_1_h_17_m_1_b_4_k_3_c_1_o_20_l_3_d	0.431
4wfa_Q	_4_F_0_-_2_H_0_l_11_G_5_F	_0_C_3_f_3_E_5_j_6_E_16_F	0.536
3k12_A	_0_G_4_F_0_-_0_-_2_H_0_l_11_G_5_F	_0_A_2_C_11_m_4_b_0_G_2_j_10_E_12_C	0.384
1zkc_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_0_-_2_d_0_-_8_n	_0_F_2_F_0_-_5_j_0_-_6_F_0_-_0_-_3_C_0_-_32_C_11_C_0_-_4_b_5_F_1_h_14_H_3_m	0.374
2gia_A	_0_G_4_F_2_H_0_l_0_-_0_-_11_G_5_F_9_c_4_n	_1_G_2_H_10_H_2_i_6_C_3_F_7_H_2_H_0_-_1_n	0.482
2uyg_A	_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_0_-_3_b_13_c_5_c_0_-_21_k	_0_D_3_b_13_k_4_D_3_i_7_D_0_-_0_-_0_-_1_d_2_g_5_D_3_b_2_c_4_b_2_C_4_j	0.395
4r3u_A	_4_F_2_H_0_l_11_G_5_F_9_c_0_-_4_n_12_A_0_-_5_b_0_B_0_-_0_-_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_0_-_21_k_4_b	_4_A_2_A_4_k_0_-_5_D_1_d_6_b_13_f_10_C_4_k_4_b_2_B_4_a_11_m_3_A_3_A_0_-_1_d_4_n_5_b_0_-_1_b_2_D_3_m_10_b	0.438
2ibo_A	_2_H_0_l_11_G_0_-_5_F_9_c	_0_H_4_l_10_D_6_i_5_H_5_c	0.635
1oal_A	_0_G_4_F_2_H_0_l_11_G_0_-_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_0_-_2_d	_0_G_0_-_5_I_0_-_2_G_5_B_1_C_0_-_7_B_2_B_2_b_27_B_9_B_0_-_4_c_3_D_11_c	0.464
2e7h_A	_0_G_4_F_2_H_0_l_11_G_0_-_5_F_9_c_4_n_12_A	_0_E_2_D_12_G_0_-_9_D_3_D_7_G_0_-_0_-_11_A	0.370
7v9l_R	_8_n_3_b_13_c_5_c_21_k	_3_m_1_e_8_c_7_h_7_j	0.511
2pt0_A	_0_G_4_F_0_-_0_-_2_H_0_l_11_G_0_-_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_0_-_8_n_3_b_13_c_5_c_21_k_4_b_6_g	_2_E_12_A_9_b_12_c_1_B_5_j_6_F_3_C_2_F_0_b_7_l_3_D_3_b_5_C_0_-_3_A_0_-_1_f_3_F_7_j_6_C_0_-_0_-_5_k_0_-_5_i	0.356
2gjs_A	_4_F_0_-_2_H_0_l_11_G_0_-_5_F_9_c_4_n_12_A_5_b_0_-_0_B_5_B_6_A_9_b_2_d_8_n	_0_E_6_h_3_H_0_-_2_H_3_d_4_F_0_-_3_m_5_E_4_b_4_j_2_C_0_-_0_-_0_-_0_-_8_n	0.421
4nbc_F	_0_G_0_-_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_0_-_5_B_6_A	_0_D_0_b_4_F_2_H_0_-_2_E_0_-_9_b_0_-_1_B_0_-_2_B_6_B_5_B_8_A	0.420
4csb_A	_0_G_4_F_2_H_0_l_11_G_5_F	_3_I_7_I_2_J_2_f_2_F_2_F	0.543
2fxe_A	_0_G_4_F_0_-_2_H_0_-_0_l_11_G_5_F_9_c	_0_E_2_F_7_B_8_F_2_L_0_-_2_I_5_A_1_c	0.455
2jov_A	_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B	_0_H_0_-_7_I_0_-_0_-_1_j_3_A_0_-_7_D_7_C	0.362
2mab_A	_2_d_8_n_3_b_13_c_5_c_21_k	_0_e_7_m_7_l_0_-_8_m_12_l	0.370
1kpf_A	_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B	_7_C_0_-_0_-_3_D_7_F_6_b_2_n_6_C_3_c_8_D	0.465
5vgm_A	_0_G_4_F_0_-_2_H_0_l_11_G_0_-_5_F_9_c_4_n_12_A_0_-_5_b_0_B_0_-_5_B_6_A_9_b_2_d_8_n_3_b_13_c_0_-_5_c_21_k_4_b_6_g	_0_D_3_C_4_j_5_C_10_k_4_D_8_h_3_B_0_-_8_k_2_C_10_g_5_e_5_B_5_h_4_D_0_-_2_c_2_d_0_-_5_b_8_k_4_B_8_c_12_j_3_d_5_e	0.392
1wfy_A	_11_G_5_F_9_c_4_n_12_A_5_b_0_B	_0_F_5_E_10_c_0_-_0_-_26_b_5_B	0.560
4zzq_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_0_-_0_-_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k_0_-_4_b_6_g	_7_A_2_C_2_G_0_-_2_F_7_C_0_c_0_-_30_A_0_-_4_A_4_H_8_H_4_B_13_A_0_-_0_-_0_-_0_-_0_i_5_c_2_i_2_G_7_c_25_f	0.351
6ftl_I	_0_G_4_F_0_-_2_H_0_l_11_G_5_F_0_-_9_c	_3_F_10_F_5_k_4_G_0_-_6_H_7_F_5_F_0_d	0.598
3crd_A	_8_n_3_b_13_c_0_-_5_c_21_k	_0_k_8_f_4_f_6_i_8_f_3_k	0.372
4cbw_G	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A	_3_H_0_-_5_H_5_m_0_-_4_F_5_c_0_-_7_B	0.420
7qiy_J	_0_B_5_B_6_A_9_b_2_d_8_n_3_b_0_-_13_c_5_c_21_k_4_b_6_g	_0_C_2_C_0_-_0_-_4_f_5_i_8_b_2_j_1_c_3_b_16_m_0_-_3_g	0.444
2qzw_A	_0_G_0_-_4_F_2_H_0_-_0_-_0_l_0_-_0_-_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d	_7_E_1_B_8_C_7_H_2_J_6_B_1_j_2_B_7_C_6_E_4_D_0_c_0_-_0_A_0_-_12_B_1_B_4_A_0_-_1_c	0.414
1alc_A	_9_c_4_n_12_A_5_b_0_-_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c	_1_b_0_-_0_-_2_b_2_j_6_B_4_B_4_A_0_-_20_d_4_k_2_b_1_e_5_b	0.536
4ldc_A	_0_G_4_F_0_-_2_H_0_l_11_G_5_F_9_c_4_n_12_A	_4_I_12_G_8_A_10_H_2_e_1_G_7_H_0_-_4_j_5_G	0.466
4j5s_C	_4_F_0_-_2_H_0_l_0_-_11_G_5_F_9_c_4_n_12_A_5_b_0_B	_0_C_2_b_5_E_9_h_2_f_5_F_2_F_0_-_10_m_4_C_11_j_6_F	0.392
3zhn_A	_0_G_4_F_0_-_0_-_0_-_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_0_-_5_B	_0_H_14_G_3_d_2_e_1_g_0_H_0_-_4_G_5_E_0_-_0_-_0_-_4_b_3_D_5_G_3_E	0.410
4p5i_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_0_-_0_-_5_b_0_B_0_-_5_B	_2_I_5_G_6_H_12_k_0_-_1_F_0_-_0_-_25_A_2_D_4_J_2_b_6_E_2_f_8_E	0.448
1r8h_A	_2_H_0_l_0_-_11_G_0_-_5_F_9_c	_0_H_1_k_1_b_19_E_3_i_7_G_0_c	0.552
1u8s_A	_0_G_0_-_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A	_2_I_1_m_2_F_9_H_5_j_4_H_2_I_0_-_5_l_2_H	0.505
2gpr_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_0_-_5_b_0_B_5_B_6_A	_5_F_3_B_4_D_0_-_6_D_5_D_4_c_4_B_6_A_4_D_1_f_5_F_11_B_4_E	0.361
2byc_A	_0_G_0_-_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b	_0_I_4_n_2_E_3_H_0_j_4_J_11_B_1_f_0_-_0_-_1_b	0.493
2c06_A	_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b	_0_D_13_D_3_f_0_-_4_A_0_-_1_A_24_B_14_D_0_-_2_f_0_-_4_b	0.355
4r3i_A	_0_G_0_-_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d	_4_G_4_A_1_D_0_-_21_b_2_G_3_A_0_c_0_-_3_A_0_b_2_A_0_-_8_A_1_i_8_g	0.361
1buy_A	_8_n_3_b_13_c_0_-_5_c_21_k_4_b_6_g	_0_m_0_-_21_c_4_r_8_n_26_j_0_-_5_g	0.439
4ufr_B	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B	_0_E_4_E_6_E_0_-_2_E_5_E_0_-_0_-_2_D_0_-_4_B_2_B	0.415
7c8n_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_0_-_4_n	_12_E_6_H_2_H_3_k_0_-_0_-_4_d_3_g_6_p	0.429
4o8v_A	_4_F_2_H_0_-_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_0_-_2_d_8_n_0_-_3_b_13_c_0_-_0_-_5_c_21_k_4_b_6_g	_0_B_5_B_0_b_11_l_0_-_3_F_2_c_0_-_0_-_1_b_0_-_0_-_0_-_7_b_2_j_11_c_15_k_10_J_2_d_3_e_4_I_5_C_2_c_0_-_1_b_1_h	0.383
3t4x_A	_4_F_0_-_2_H_0_l_11_G_0_-_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_0_-_13_c_5_c_21_k_4_b	_0_C_5_j_3_E_2_k_4_E_5_i_5_C_9_b_2_j_0_-_2_g_7_E_0_-_0_-_3_b_6_e_0_-_2_i_4_E_7_c_12_f_16_j_1_b	0.436
5hy3_B	_0_G_4_F_2_H_0_l_11_G_5_F	_0_G_0_-_5_G_1_l_2_E_2_F	0.741
3qh4_A	_0_G_4_F_0_-_2_H_0_l_0_-_11_G_0_-_5_F_9_c_4_n_12_A_5_b_0_B_5_B_0_-_6_A_9_b_2_d_8_n	_5_G_5_F_13_j_2_D_11_l_1_c_1_J_1_l_7_D_9_d_8_j_0_-_10_b_9_G_0_-_3_k_4_I_0_-_2_c_4_m	0.385
3g20_B	_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d	_0_s_0_-_9_c_31_B_8_C_12_A_0_-_0_c	0.503
4m0c_A	_2_H_0_l_11_G_0_-_0_-_0_-_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_0_-_8_n	_0_E_10_l_5_E_9_j_5_g_2_f_3_F_7_d_0_-_9_B_0_-_4_B_8_D_0_-_8_d_1_f_11_D_6_o	0.426
1spp_A	_0_G_4_F_0_-_2_H_0_l_11_G_5_F	_5_I_5_E_7_D_1_H_0_-_4_E_9_F	0.584
4zjb_G	_8_n_3_b_13_c_5_c_21_k_4_b_6_g	_0_n_3_b_0_-_0_-_14_k_6_c_5_i	0.609
4bif_A	_0_G_4_F_0_-_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_0_-_6_A	_2_G_6_G_4_A_2_A_0_-_4_G_1_D_0_-_0_-_5_B_0_-_4_C_5_D_5_G_7_A	0.371
1u8v_A	_0_G_0_-_4_F_2_H_0_-_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_0_-_0_-_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k_4_b_6_g	_3_C_11_b_8_D_3_G_10_C_7_e_1_E_5_D_5_d_5_b_9_J_0_b_0_C_2_w_5_q_2_A_5_A_0_-_2_j_2_k_2_c_3_c_12_g_8_l_11_b_4_j	0.386
1kn6_A	_5_F_9_c_4_n_12_A_5_b_0_B_0_-_5_B	_0_C_4_f_0_-_6_A_0_-_9_D_17_e_3_B	0.404
2qqy_A	_2_d_0_-_8_n_3_b_13_c_5_c	_2_e_5_r_21_p_3_f_2_d_2_f	0.364
1pby_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_0_-_8_n_3_b	_4_G_4_F_2_G_0_-_4_D_2_D_0_-_0_-_12_A_0_-_1_E_12_E_2_E_2_e_1_c_1_B_4_C_9_b	0.374
1dkq_A	_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_0_-_2_d_8_n_3_b_13_c_5_c_0_-_0_-_21_k_4_b_0_-_6_g	_0_J_0_-_10_d_17_n_14_D_3_k_7_A_0_-_0_-_9_b_11_j_4_e_2_j_1_b_1_c_10_c_4_B_4_B_2_m_4_c_4_m_3_f	0.420
2gi4_A	_4_F_2_H_0_l_11_G_5_F_0_-_9_c_4_n_12_A_0_-_5_b_0_B_5_B_6_A_9_b_2_d_8_n	_0_D_0_-_6_l_0_-_6_E_11_h_14_c_0_-_4_B_3_i_2_d_0_A_0_-_0_-_0_-_15_c_4_m	0.385
1oz7_B	_4_F_2_H_0_l_11_G_0_-_5_F_9_c_4_n_12_A_5_b_0_B_5_B	_0_B_2_I_1_j_4_A_7_f_9_F_4_b_0_-_19_D_0_b_1_D_5_H	0.467
6y5e_G	_9_b_2_d_8_n_3_b_0_-_13_c_5_c_21_k_4_b	_0_c_7_e_0_-_2_b_8_q_7_i_1_e_0_-_16_b	0.433
4f0f_A	_0_G_4_F_2_H_0_-_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k_4_b_6_g	_0_E_8_E_5_E_9_c_3_i_10_D_4_D_6_e_7_n_0_-_12_b_0_B_10_B_12_A_10_b_6_A_1_m_0_-_11_i_0_-_12_i_4_b_3_h	0.565
5xnl_a	_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k_0_-_4_b_6_g	_0_h_9_p_3_A_0_-_0_-_0_-_6_A_3_b_28_e_2_r_6_k_5_d_2_b_5_l_5_q_12_c_11_j	0.410
3kwg_B	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b	_7_E_2_E_6_J_0_-_2_J_4_F_0_-_8_m_3_C_1_b	0.527
1chz_A	_4_F_2_H_0_l_11_G_5_F	_0_F_3_A_5_i_4_G_2_H	0.562
1r6o_C	_4_F_0_-_0_-_2_H_0_l_11_G_5_F	_0_F_6_j_3_k_1_G_0_m_0_-_5_F	0.518
4b7f_A	_0_G_4_F_0_-_2_H_0_l_11_G_5_F_0_-_9_c_4_n_12_A_5_b_0_B_5_B_6_A_0_-_9_b_0_-_2_d_0_-_0_-_8_n_3_b_13_c_5_c_21_k_4_b_6_g	_13_I_0_-_10_b_4_H_0_-_16_G_2_G_9_i_11_i_1_j_0_-_1_b_9_A_4_C_5_I_8_i_3_j_5_I_0_e_19_I_22_A_4_m_4_b_1_b_83_d_7_k_7_j_1_k	0.384
5xkd_A	_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_0_-_5_b_0_B_5_B_6_A_9_b_2_d_0_-_8_n_3_b_0_-_13_c_5_c_21_k_0_-_4_b_6_g	_6_F_0_-_5_k_0_-_4_E_4_e_8_n_7_C_4_B_1_b_5_A_4_A_14_C_4_i_0_-_2_C_4_m_4_b_1_I_3_j_0_-_4_j_12_g_1_b_2_j	0.446
1oro_A	_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_0_-_0_-_9_b_0_-_2_d_8_n	_0_j_3_F_5_E_1_b_3_m_5_C_4_l_5_C_12_B_5_D_6_k_3_I_10_h_2_F_0_g_3_m	0.374
6dk3_A	_4_F_2_H_0_l_11_G_5_F_9_c_0_-_4_n_12_A_5_b_0_B_0_-_0_-_5_B_6_A_0_-_9_b_2_d_8_n_3_b_13_c_5_c_21_k	_3_D_10_E_0_-_2_C_4_B_3_e_11_k_2_p_3_A_0_b_5_D_1_b_3_i_2_A_1_B_12_D_0_-_1_d_4_p_0_-_4_i_0_-_1_m	0.356
1g6e_A	_11_G_5_F_9_c_4_n_12_A_5_b_0_B_0_-_5_B_6_A	_0_A_7_C_0_c_1_D_4_A_0_-_6_E_4_E_7_E_3_B	0.360
1xne_A	_12_A_5_b_0_B_5_B_6_A_9_b_2_d	_0_C_3_h_4_B_14_C_3_I_3_f_2_c	0.377
7c9r_L	_5_b_0_B_5_B_6_A_0_-_9_b_2_d_8_n_3_b_13_c_5_c_21_k_4_b_0_-_6_g	_0_b_15_A_0_-_2_A_1_p_16_b_0_-_11_r_4_k_5_d_2_b_8_i_4_b_1_r_10_j	0.411
6lp9_C	_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A	_0_F_5_B_4_k_0_-_4_D_0_e_0_-_0_B_0_-_5_E_4_E_8_F	0.368
2yy5_B	_2_H_0_-_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_0_-_0_-_0_-_8_n_0_-_3_b_13_c_5_c_21_k_4_b_6_g	_0_E_7_e_1_i_0_-_1_E_1_c_6_m_6_D_0_b_0_-_0_-_0_-_1_j_3_d_2_f_15_k_5_B_2_o_7_B_24_b_0_-_7_h_17_k_5_f_3_f	0.353
5iq3_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_0_-_12_A_0_-_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_0_-_21_k_0_-_4_b	_8_H_5_H_9_E_13_j_0_-_3_E_5_b_6_l_1_c_1_H_1_l_2_b_2_D_0_-_0_-_0_-_16_c_7_j_13_b_0_-_2_c_5_G_3_k_4_I_2_b	0.465
1iz6_A	_0_G_4_F_0_-_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B	_9_G_5_F_3_D_2_I_0_-_3_D_6_D_0_c_0_-_0_-_2_b_8_F_2_F	0.459
2j3t_C	_4_F_2_H_0_l_0_-_11_G_5_F_9_c_4_n	_0_F_5_E_10_o_10_B_4_E_5_E_7_e_24_j	0.542
1wwc_A	_0_G_0_-_0_-_4_F_2_H_0_l_11_G_5_F	_0_H_5_E_2_A_6_F_3_H_3_b_1_H_2_H	0.531
2wcs_A	_0_G_4_F_2_H_0_-_0_l_11_G_5_F_0_-_9_c_4_n_12_A_5_b_0_B_0_-_5_B_0_-_6_A_9_b_2_d_8_n_3_b_0_-_13_c_0_-_5_c_21_k_0_-_4_b_0_-_6_g	_3_C_3_B_7_F_1_b_1_k_0_-_3_E_9_j_3_b_0_-_0_-_21_b_4_B_4_m_3_D_9_j_4_D_5_b_7_C_0_j_1_b_18_j_4_c_3_A_9_c_4_j_5_D_2_b_21_l_2_c	0.350
3pfq_A	_0_G_4_F_2_H_0_-_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_0_-_13_c_0_-_5_c_21_k_4_b_6_g	_6_E_8_E_5_G_0_e_4_i_11_B_6_F_6_g_4_n_2_A_0_-_8_B_5_B_6_A_0_-_18_c_7_l_9_h_11_i_14_e_2_b_4_c_14_f_14_c_4_c	0.559
6ioy_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_0_-_9_b_2_d_8_n_0_-_3_b_13_c_5_c_21_k_4_b_0_-_0_-_0_-_6_g	_0_H_2_H_3_H_0_-_7_D_5_D_0_-_5_k_0_-_9_b_2_E_0_-_10_A_2_h_1_b_0_-_4_k_5_D_2_d_2_c_5_f_8_l_3_b_1_F_3_F_2_D_20_i	0.452
3mdy_A	_0_G_4_F_2_H_0_l_11_G_0_-_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k_4_b_6_g	_1_H_2_G_2_H_0_k_12_F_2_b_1_E_7_f_4_n_11_A_5_b_0_B_5_B_6_A_9_b_2_c_9_n_0_-_25_c_14_d_1_k_4_b_3_k	0.810
2z36_B	_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_0_-_3_b	_1_l_0_-_0_-_2_h_1_l_7_C_0_-_3_B_2_B_4_C_0_-_1_c_34_m_4_A_3_b	0.398
2j9c_A	_0_G_0_-_4_F_0_-_0_-_2_H_0_l_11_G_5_F_9_c	_0_G_1_k_6_F_9_A_2_A_5_J_0_l_7_G_0_-_12_c	0.603
2q55_A	_11_G_5_F_9_c_4_n_12_A_5_b_0_B_0_-_5_B_6_A_9_b_2_d	_0_E_2_F_0_-_0_-_7_A_0_-_9_F_2_L_2_H_6_A_0_-_1_c	0.375
1w8a_A	_11_G_5_F_9_c_4_n_12_A_5_b_0_B_0_-_0_-_5_B_6_A_9_b_2_d_8_n_3_b_0_-_13_c	_0_B_2_B_0_-_0_-_18_B_14_b_5_B_21_B_7_A_12_B_7_A_0_-_12_B_9_k_3_b_1_A_10_b	0.353
4aoo_B	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A	_16_C_4_B_4_D_0_-_2_C_4_F_3_d_0_-_1_B_0_-_4_B_11_E_3_B	0.363
2jnt_A	_13_c_5_c_21_k_4_b_6_g	_0_c_2_j_7_k_8_l_2_j	0.362
5iu2_B	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k_4_b_6_g	_0_D_18_F_5_G_6_g_8_F_2_E_7_g_4_n_2_A_5_b_0_B_4_B_6_A_14_b_2_d_6_l_0_-_16_g_0_-_12_i_4_b_3_d	0.645
3pvl_A	_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k_4_b	_3_F_4_E_5_j_8_F_2_E_0_-_5_k_0_-_5_b_3_E_0_-_0_-_8_b_0_-_1_m_7_l_0_-_0_-_5_j_2_b	0.402
1x0r_A	_0_G_4_F_0_-_2_H_0_l_11_G_0_-_5_F_9_c_0_-_0_-_0_-_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c	_0_B_2_B_3_c_4_E_6_n_2_F_3_i_12_B_4_d_13_E_4_A_3_A_6_m_17_A_6_e_6_C_2_C_0_-_0_-_0_-_4_l_0_-_6_d	0.407
1ha4_A	_0_G_4_F_0_-_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B	_0_F_3_F_6_d_6_E_0_-_2_E_3_F_0_-_0_-_3_A_2_c_8_C	0.487
2ejq_A	_4_n_12_A_5_b_0_B_5_B_6_A_9_b_0_-_2_d_8_n	_0_k_0_-_2_c_4_D_15_C_0_-_11_b_2_D_0_f_6_o	0.443
3uie_A	_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_0_-_8_n	_4_E_6_k_0_-_4_D_0_c_11_n_3_D_5_h_6_E_0_-_0_-_3_f_4_e_21_B_7_l	0.456
2bcg_Y	_2_H_0_l_11_G_5_F_9_c_0_-_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b	_0_H_5_i_14_G_2_G_12_c_4_F_3_m_5_F_11_i_4_B_0_-_0_-_8_l_2_d_0_-_3_b	0.493
1aln_A	_0_l_11_G_5_F_9_c_4_n_12_A_0_-_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_0_-_0_-_21_k_4_b_0_-_6_g	_3_k_12_E_4_D_8_b_3_j_5_E_5_f_5_b_1_B_0_-_6_A_0_-_0_c_0_-_0_-_6_c_19_j_10_F_4_D_12_j_4_b_0_G_8_j	0.390
2v1n_A	_9_c_4_n_12_A_0_-_5_b_0_-_0_B_5_B_6_A_9_b_2_d_8_n_3_b	_0_b_1_n_4_B_0_g_8_b_5_g_5_E_2_E_0_-_0_-_4_h_0_-_1_b	0.447
2lpd_A	_4_F_2_H_0_l_11_G_5_F_0_-_9_c	_0_D_0_-_0_-_6_C_9_F_1_h_9_d	0.360
2i27_N	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B	_2_D_4_F_8_G_5_B_6_E_4_E_4_b_0_-_1_G_3_c_9_E	0.427
2lss_A	_0_G_4_F_2_H_0_l_11_G_5_F	_0_J_4_D_7_B_1_f_9_H_2_I	0.457
3j7y_F	_11_G_5_F_9_c_4_n_12_A_0_-_5_b_0_B_0_-_5_B_0_-_6_A_9_b_2_d_0_-_8_n	_13_D_11_B_2_d_4_k_2_A_48_A_6_m_3_C_9_j_5_C_8_h_4_B_1_b_2_e_2_D_0_j	0.376
1pbu_A	_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_0_-_5_c_21_k	_8_D_4_b_6_k_0_-_1_b_0_B_2_B_6_G_6_b_1_b_0_-_3_b_0_-_3_A_0_-_6_j	0.398
5zuh_A	_12_A_5_b_0_B_5_B_0_-_6_A_9_b_2_d_8_n	_0_B_8_i_5_B_19_C_3_h_11_A_0_-_0_-_1_l	0.443
