2hv6_A	_0_i_3_d_2_f_4_o_9_b	_7_i_7_d_1_f_4_j_4_c	0.627
4rxy_A	_0_I_0_i_3_d_2_f_0_-_4_o_9_b_1_C_5_D	_9_F_3_f_6_d_1_h_1_d_4_o_1_g_5_F_6_B	0.521
2dqw_A	_0_i_3_d_0_-_2_f_4_o_9_b_0_-_1_C	_8_h_1_d_5_B_5_f_0_-_4_b_1_k_4_C	0.513
1pbu_A	_0_i_3_d_2_f_0_-_0_-_4_o_9_b_1_C_5_D_3_J_3_I	_8_i_2_b_1_e_8_D_4_b_6_k_1_b_0_B_2_B_0_-_6_G	0.487
5d5p_C	_0_i_0_-_3_d_2_f_4_o_9_b_1_C_5_D_3_J	_4_j_6_C_5_d_3_j_0_-_0_-_4_F_7_F_4_F	0.356
2ida_A	_3_d_0_-_2_f_4_o_9_b_1_C_5_D	_11_c_8_C_15_h_0_-_0_-_3_C_6_C	0.381
5c8h_A	_0_i_3_d_0_-_2_f_4_o_9_b_1_C_5_D	_0_g_4_l_9_A_0_i_6_k_0_-_4_C_5_C	0.380
1ciy_A	_3_d_2_f_0_-_4_o_9_b_1_C_0_-_5_D_3_J_3_I	_1_c_9_e_8_K_2_K_0_b_4_A_3_A_5_F_5_J_12_J	0.391
1a3q_A	_9_b_1_C_5_D_3_J_3_I	_4_b_0_A_3_D_12_H_9_F	0.563
6d7r_A	_0_i_3_d_2_f_0_-_4_o_9_b	_3_i_0_-_7_f_1_l_9_o_2_j	0.415
2qn4_A	_9_b_1_C_0_-_0_-_5_D_3_J_3_I	_2_b_12_D_12_A_2_B_9_E_2_E_5_G	0.413
3k86_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_2_G_3_h_1_E_2_i_2_b_2_b_6_A_7_A_4_K_2_J	0.397
3jb4_B	_0_I_0_-_0_i_3_d_2_f_4_o_9_b_1_C_5_D_0_-_3_J_3_I	_2_G_6_E_0_-_4_c_7_e_0_-_0_-_3_C_5_E_8_A_9_H_8_I	0.477
5wxv_A	_0_I_0_i_0_-_0_-_3_d_2_f_4_o_9_b_1_C_0_-_5_D_0_-_3_J	_0_E_3_c_9_m_3_D_6_c_2_d_0_-_11_b_6_C_11_f_4_E_7_h_3_H	0.357
5f82_A	_0_i_3_d_0_-_2_f_4_o_9_b_1_C_5_D_0_-_3_J_3_I	_2_i_13_b_9_A_1_k_5_j_8_c_5_H_0_-_0_b_0_I_2_I	0.402
4hec_B	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D	_4_I_4_E_4_b_2_e_0_-_1_b_8_A_1_j_7_E	0.364
5uyt_B	_9_b_1_C_5_D_3_J_0_-_3_I	_4_b_0_D_3_B_4_G_4_B_4_G	0.539
1l7a_A	_0_I_0_i_0_-_3_d_2_f_4_o_9_b_1_C_0_-_5_D	_3_J_1_j_5_D_6_f_7_g_3_j_3_f_4_E_7_i_4_E	0.373
2iq1_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_4_I_0_-_0_-_3_m_6_o_3_b_1_A_1_F_3_F_3_E	0.464
1pfx_C	_9_b_1_C_0_-_5_D_0_-_3_J_3_I	_1_b_7_C_12_I_15_D_17_g_3_E_14_G	0.409
4avy_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C	_1_G_5_g_0_-_1_h_9_j_2_b_6_C	0.550
1gx1_A	_0_i_3_d_2_f_4_o_0_-_9_b_1_C_5_D_0_-_3_J	_7_k_5_c_5_b_4_k_3_I_12_e_0_-_6_E_5_c_3_J	0.372
2keo_A	_0_i_3_d_2_f_4_o_9_b_0_-_1_C	_0_g_7_b_4_i_0_-_3_b_1_c_0_D	0.417
3d6i_A	_2_f_0_-_4_o_9_b_1_C_0_-_5_D_3_J_3_I	_2_g_8_E_4_k_1_b_3_E_4_e_7_E_0_-_2_E	0.393
2g9w_A	_0_i_3_d_0_-_2_f_4_o_9_b_1_C_5_D	_0_b_2_d_10_A_0_g_0_-_12_f_3_C_3_C	0.404
1y4w_A	_9_b_1_C_5_D_3_J_3_I	_0_b_1_F_6_E_8_J_5_I	0.827
2bib_A	_0_I_0_-_0_i_0_-_3_d_2_f_0_-_4_o_9_b_0_-_1_C_5_D_3_J_0_-_3_I	_2_E_24_b_2_i_8_A_5_c_2_f_4_B_5_b_3_b_3_k_3_B_8_C_2_E_17_c_2_E	0.415
2vhd_A	_0_i_3_d_2_f_4_o_9_b_1_C_0_-_0_-_5_D	_9_j_8_e_3_b_2_j_2_b_11_B_19_c_2_b_2_B	0.408
1pz1_A	_3_d_2_f_0_-_4_o_9_b_1_C_5_D	_2_b_7_k_4_B_4_l_2_b_1_E_1_B	0.358
1p1t_A	_9_b_1_C_0_-_5_D_3_J_3_I	_0_c_2_C_7_h_6_F_0_-_4_H	0.475
6a05_A	_2_f_4_o_9_b_1_C_0_-_0_-_5_D_0_-_3_J_3_I	_0_g_5_m_1_c_7_E_8_c_3_E_3_D_2_E_2_F_2_I	0.405
2l4v_A	_4_o_9_b_1_C_5_D_3_J_3_I	_0_m_0_-_5_J_4_J_2_J_6_G	0.398
2i47_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_0_-_0_-_5_D	_12_H_29_j_1_c_0_-_4_E_4_b_2_B_17_B_4_B_3_D	0.468
4mb4_A	_0_I_0_i_0_-_3_d_2_f_4_o_9_b_1_C_0_-_0_-_5_D_3_J_3_I	_0_E_13_k_6_D_1_c_12_j_11_B_0_-_4_C_11_B_7_b_1_B_8_J_2_J	0.409
4nfy_B	_0_I_0_i_0_-_3_d_0_-_2_f_0_-_4_o_9_b_1_C_0_-_5_D	_3_E_5_f_4_C_6_e_5_C_9_e_3_B_6_l_1_b_11_D_3_j_3_D	0.381
1na5_A	_0_I_0_-_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_0_-_3_I	_4_G_3_D_1_e_3_d_11_f_0_-_7_b_0_-_0_-_6_G_10_i_2_G	0.448
4p42_A	_0_I_0_i_3_d_2_f_4_o_9_b_0_-_1_C_5_D_3_J_3_I	_4_F_0_-_1_c_10_j_6_C_3_g_5_K_15_F_2_C_10_I_6_G	0.379
1b8d_B	_0_i_0_-_0_-_3_d_2_f_4_o_9_b	_8_j_1_k_1_l_1_c_0_-_7_p_3_b	0.351
3r0a_A	_0_i_3_d_0_-_0_-_2_f_4_o_9_b_1_C_5_D	_2_h_3_d_2_c_5_A_0_g_3_k_0_-_3_F_5_F	0.386
5f1a_A	_0_i_3_d_2_f_4_o_9_b	_3_i_2_b_2_f_10_l_2_b	0.638
6xnu_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D_3_J	_4_F_0_f_7_d_0_-_0_-_3_c_6_A_5_i_2_D_4_F	0.360
1u8x_X	_0_I_0_i_0_-_3_d_0_-_2_f_0_-_4_o_9_b_1_C_5_D_3_J_3_I	_10_F_3_m_4_D_2_d_16_g_10_f_2_i_15_j_12_d_0_-_13_E_0_-_2_G	0.351
6ojt_B	_0_I_0_i_3_d_2_f_4_o_9_b_0_-_0_-_0_-_1_C_0_-_5_D_3_J_3_I	_2_G_3_h_10_b_0_-_0_-_2_b_10_D_2_D_6_B_6_C_16_A_6_E_8_F_5_G	0.432
3bge_A	_0_i_3_d_2_f_4_o_0_-_9_b	_4_j_5_b_3_k_2_m_5_l_7_b	0.409
1ze3_C	_0_I_0_-_0_i_3_d_0_-_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_2_H_11_J_0_-_3_d_7_I_7_b_0_-_1_b_1_C_3_E_0_-_5_G	0.437
2fhf_A	_0_I_0_i_3_d_2_f_4_o_9_b_0_-_1_C_5_D_3_J_3_I	_4_D_2_b_13_d_17_k_8_m_3_c_3_f_0_C_9_F_0_-_12_H	0.464
6vtt_G	_9_b_0_-_0_-_1_C_5_D_3_J_3_I	_1_b_4_B_8_E_2_C_7_D_15_E_2_E	0.367
1z7s_3	_3_d_2_f_4_o_9_b_0_-_1_C_0_-_5_D_3_J_3_I	_0_c_0_-_4_A_12_c_0_D_8_C_12_e_2_D_2_F_8_F	0.362
6wk3_C	_0_i_3_d_2_f_4_o_9_b	_0_h_1_o_1_e_3_m_4_b	0.460
2cw9_A	_0_i_0_-_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_10_h_5_f_5_e_5_f_2_l_0_-_3_A_0_-_3_H_8_I	0.498
1qll_A	_0_i_3_d_2_f_0_-_0_-_4_o_9_b	_0_j_3_d_17_k_13_B_4_B_4_n_1_b	0.437
4gqx_A	_3_d_2_f_0_-_4_o_9_b_1_C_0_-_5_D_3_J_3_I	_0_b_0_-_0_A_7_l_4_j_5_B_2_A_2_C_6_J_9_I	0.450
6cqf_A	_0_I_0_-_0_i_3_d_0_-_0_-_2_f_4_o_9_b_1_C_5_D	_5_G_6_b_1_g_9_F_2_F_4_A_0_g_4_n_9_b_0_B_5_B	0.374
3boe_A	_0_i_0_-_3_d_2_f_4_o_9_b_0_-_1_C_5_D	_4_k_3_F_4_b_1_f_0_-_4_b_8_i_3_D_8_C	0.433
3ban_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D	_5_E_0_-_0_c_7_k_2_o_0_-_3_C_18_h_6_E	0.487
3ap3_D	_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D	_6_k_5_d_0_-_5_n_0_-_5_D_1_k_4_E	0.406
2zkt_A	_0_I_0_i_3_d_2_f_0_-_0_-_0_-_4_o_9_b_0_-_1_C_5_D	_1_E_9_g_4_c_3_g_9_D_3_A_2_B_4_k_0_-_2_B_4_C_2_D	0.361
1bli_A	_0_i_3_d_2_f_0_-_4_o_0_-_9_b_0_-_1_C_5_D_3_J_3_I	_1_j_6_d_3_c_4_C_20_i_4_D_0_d_13_k_5_C_5_E_10_E_4_E	0.382
3fim_B	_0_I_0_i_0_-_3_d_0_-_0_-_0_-_0_-_2_f_4_o_9_b_1_C_0_-_5_D_3_J_3_I	_7_J_2_j_2_A_1_e_6_A_7_A_2_B_2_C_6_c_2_k_3_b_5_D_6_c_13_E_0_-_15_G	0.365
4e4g_H	_0_I_0_i_3_d_2_f_0_-_4_o_9_b_1_C_5_D	_6_E_3_n_2_f_2_f_7_c_3_p_0_-_15_D_2_D	0.466
4b5m_A	_0_I_0_i_3_d_2_f_0_-_4_o_9_b_0_-_1_C_5_D_0_-_0_-_3_J_3_I	_0_F_3_f_0_-_1_f_4_D_5_b_2_b_2_b_1_D_9_D_5_C_4_c_4_E_2_F	0.357
2al1_A	_0_I_0_-_0_i_3_d_2_f_0_-_4_o_9_b_1_C_0_-_0_-_5_D	_5_H_2_E_22_b_3_d_6_f_6_j_9_m_4_h_6_B_1_G_1_b_8_D	0.356
4ryo_A	_0_i_3_d_2_f_0_-_0_-_4_o_9_b	_0_k_2_d_4_e_9_q_4_m_8_o_4_e	0.413
1frf_S	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D	_0_E_0_-_5_e_0_-_0_-_7_b_6_C_8_k_5_D	0.365
4ioy_X	_9_b_1_C_0_-_5_D_3_J_3_I	_4_b_2_C_0_b_0_F_6_K_2_J	0.475
1vpx_F	_0_I_0_i_0_-_3_d_2_f_4_o_9_b_1_C_0_-_5_D	_4_E_2_i_3_D_0_e_0_-_4_l_0_-_4_D_4_h_4_C	0.401
4fo7_A	_4_o_0_-_0_-_9_b_1_C_5_D_3_J_3_I	_0_p_6_i_8_A_4_b_5_C_2_B_13_I_2_I	0.492
4o0q_B	_0_i_3_d_2_f_0_-_4_o_9_b_1_C_0_-_5_D	_3_i_5_D_5_h_5_D_10_l_5_b_0_C_11_l_4_D	0.387
1h9p_A	_9_b_1_C_5_D_3_J_3_I	_4_b_6_E_6_C_7_H_4_G	0.680
1j7j_A	_4_o_9_b_1_C_0_-_5_D_3_J_0_-_3_I	_1_n_0_-_5_E_4_g_7_E_18_H_3_j_5_H	0.368
3ndr_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C	_2_F_0_-_5_c_2_h_9_j_2_b_6_C	0.484
3kks_A	_0_I_0_-_0_i_0_-_3_d_2_f_0_-_4_o	_2_G_5_E_4_k_4_C_3_c_1_h_3_C_5_p	0.374
5nxs_A	_2_f_4_o_9_b_1_C_0_-_5_D_3_J_3_I	_10_f_0_-_4_f_9_B_19_I_8_F_8_G_6_E	0.398
1olt_A	_0_I_0_i_0_-_3_d_2_f_4_o_9_b_1_C_5_D	_6_E_6_k_3_E_8_d_2_b_3_m_0_-_3_C_2_B	0.470
3nvs_A	_0_i_0_-_3_d_2_f_4_o_9_b_1_C_5_D	_4_i_6_D_2_d_3_h_3_C_0_-_8_C_6_D	0.489
4r9n_A	_0_i_0_-_3_d_2_f_4_o_9_b_1_C_5_D	_7_i_3_A_14_d_1_j_4_B_16_h_2_D_2_C	0.397
1nd6_A	_0_i_0_-_3_d_2_f_4_o_9_b_0_-_1_C_5_D_0_-_3_J_3_I	_11_j_1_o_6_c_5_g_10_n_4_f_2_l_6_E_0_-_1_i_13_H_2_H	0.420
4q3u_D	_0_I_0_i_3_d_2_f_0_-_4_o_9_b_1_C_0_-_5_D	_0_F_10_i_0_-_2_f_3_F_19_n_0_-_4_D_2_k_4_D	0.476
4l5h_A	_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_2_c_3_c_11_h_0_-_10_c_1_C_4_D	0.512
3h8t_B	_9_b_1_C_0_-_0_-_5_D_0_-_3_J_3_I	_4_b_5_C_2_C_2_b_5_C_5_b_12_J_2_J	0.392
1bxd_A	_9_b_1_C_5_D_0_-_3_J_3_I	_1_j_6_C_7_B_1_l_6_G_2_H	0.386
7bwf_C	_2_f_4_o_0_-_9_b_1_C_5_D_3_J_3_I	_1_k_1_m_9_A_2_b_3_C_5_F_0_-_2_E	0.485
2ii1_C	_0_I_0_-_0_-_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_1_G_9_B_6_C_2_i_2_e_4_c_0_-_2_c_1_E_5_E	0.486
2gko_A	_0_I_0_-_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D_3_J	_0_E_7_A_8_i_16_E_0_-_9_m_0_-_3_D_8_j_3_D_20_J	0.422
5t50_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_0_-_0_-_3_J_3_I	_5_H_0_-_9_b_0_-_0_-_11_b_3_E_13_E_6_C_2_c_5_G_4_F	0.367
1tdj_A	_0_I_0_i_3_d_0_-_2_f_4_o_9_b_1_C_0_-_5_D_0_-_3_J_3_I	_4_F_4_g_23_e_5_D_1_k_6_m_0_-_5_D_9_k_2_F_8_d_5_G_7_F	0.423
3rbn_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_5_I_0_-_0_c_6_b_8_l_3_c_2_A_4_F	0.447
1c1y_B	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D	_3_E_6_i_5_b_0_-_0_F_0_b_2_D_5_c_3_F	0.392
2z0j_A	_0_I_0_-_0_-_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_3_E_8_l_4_A_1_j_3_e_2_g_0_-_5_d_9_F_2_F	0.429
2y3m_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_0_-_3_J_3_I	_0_H_0_-_0_-_2_f_0_-_0_-_7_C_4_C_3_j_4_I_4_E	0.372
1r6t_A	_0_i_3_d_0_-_0_-_2_f_0_-_4_o_9_b_1_C_0_-_5_D	_4_g_7_c_9_A_4_A_8_g_2_A_2_j_5_c_3_D_2_f_4_D	0.367
5t02_D	_9_b_1_C_0_-_5_D_3_J_3_I	_2_b_5_A_1_n_3_F_12_J_3_J	0.510
2ap9_A	_0_I_0_i_0_-_0_-_3_d_2_f_4_o_0_-_9_b_1_C_5_D	_3_E_6_h_4_b_2_E_3_c_19_f_7_g_6_D_2_b_1_D_14_F	0.402
2juo_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_0_G_0_-_0_-_4_f_0_-_1_c_7_C_2_A_16_H_7_H	0.448
3jcb_I	_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_9_h_21_b_0_-_1_m_0_-_13_B_0_-_13_H_6_H	0.401
1n83_A	_3_d_2_f_4_o_9_b_0_-_1_C_5_D	_5_e_7_h_2_q_8_p_0_A_4_C_2_B	0.401
1sfe_A	_0_i_0_-_3_d_2_f_4_o_9_b_1_C	_15_i_8_A_0_f_6_h_3_A_4_b_0_A	0.387
3ovw_A	_0_I_0_-_0_i_3_d_0_-_2_f_4_o_9_b_1_C_0_-_0_-_0_-_5_D_0_-_3_J_3_I	_0_G_3_J_0_-_1_c_1_A_21_f_1_A_4_e_2_C_2_D_1_A_2_A_3_D_8_A_5_F_7_G	0.359
5ojg_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C	_1_G_0_-_8_c_5_h_10_j_1_b_6_C	0.548
6ii8_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_6_H_0_-_0_-_3_g_0_-_0_-_6_C_4_C_15_H_4_E	0.372
6hs9_A	_0_I_0_i_0_-_3_d_2_f_0_-_4_o_0_-_9_b_1_C	_3_E_3_k_4_D_1_d_2_h_4_E_3_b_2_c_4_b_2_C	0.352
1wdp_A	_0_i_0_-_3_d_2_f_0_-_4_o_9_b_1_C_5_D	_14_k_4_F_0_c_10_j_3_F_17_h_1_b_0_B_5_E	0.367
1pk5_A	_0_i_3_d_2_f_4_o_9_b_0_-_1_C_5_D	_0_g_0_-_4_m_9_o_3_b_2_r_4_B_5_B	0.463
1mbs_A	_0_i_3_d_2_f_4_o_9_b	_2_l_2_d_9_d_2_n_8_i	0.368
5xm3_A	_0_I_0_i_0_-_3_d_2_f_4_o_0_-_9_b_1_C_5_D_3_J_3_I	_5_E_4_c_10_b_4_c_3_e_9_B_4_D_8_b_9_E_5_E_15_E_5_G	0.445
4nyf_B	_0_I_0_-_0_i_0_-_3_d_2_f_4_o_9_b_1_C	_2_G_4_F_4_k_4_C_3_c_1_i_0_-_0_-_2_C	0.352
2wcu_A	_0_I_0_i_0_-_3_d_2_f_4_o_9_b_1_C_5_D	_2_D_4_j_10_C_3_d_6_j_7_B_1_h_3_D_8_D	0.364
3eln_A	_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_0_j_7_i_4_f_8_E_1_b_2_F_7_A_5_G_2_E	0.421
1ehi_A	_0_I_0_i_0_-_3_d_0_-_2_f_0_-_4_o_0_-_9_b_0_-_0_-_1_C_0_-_5_D_3_J_3_I	_2_G_8_g_4_h_12_c_6_D_9_g_9_g_1_h_8_C_3_c_2_g_3_D_8_C_2_j_6_D_6_G_4_H	0.358
4kpc_A	_0_I_0_i_3_d_2_f_0_-_4_o_9_b_1_C	_2_G_3_f_1_b_5_g_4_F_3_h_12_d_8_B	0.394
1yq2_A	_0_I_0_i_0_-_0_-_0_-_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_4_E_10_i_3_E_7_C_5_C_11_c_12_h_0_-_0_-_3_E_7_E_9_H_2_H	0.462
4ofa_A	_0_i_0_-_3_d_2_f_4_o_9_b	_3_i_5_k_3_c_4_j_2_m_5_b	0.541
6p7y_A	_0_I_0_i_3_d_2_f_0_-_4_o_9_b_0_-_1_C_5_D_0_-_0_-_0_-_3_J_3_I	_2_G_0_-_5_c_2_b_1_F_6_C_2_b_1_A_5_C_5_B_2_I_7_c_11_f_10_J_2_I	0.376
1pex_A	_9_b_1_C_5_D_3_J_3_I	_7_c_9_D_2_E_2_E_4_F	0.446
1a4i_B	_0_I_0_i_0_-_3_d_0_-_2_f_4_o_9_b_1_C_0_-_5_D	_2_F_5_k_5_C_11_e_3_b_6_g_10_j_0_-_8_D_6_i_3_D	0.355
1wyp_A	_0_i_3_d_2_f_4_o_9_b	_0_k_10_c_2_i_14_m_3_b	0.669
2bjr_A	_0_I_0_i_3_d_0_-_2_f_0_-_4_o_9_b_1_C_0_-_0_-_5_D_3_J_0_-_3_I	_2_E_0_-_0_c_3_D_10_c_13_E_9_A_2_b_13_C_1_A_2_A_2_D_2_G_2_B_5_F	0.356
3gnt_B	_0_I_0_i_0_-_3_d_2_f_4_o_9_b_1_C	_7_F_7_h_4_G_7_c_8_j_0_-_1_b_6_C	0.494
2v78_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_2_E_1_g_0_-_4_i_2_F_1_b_1_D_2_D	0.420
4v0l_A	_0_I_0_i_0_-_3_d_0_-_2_f_4_o_9_b_1_C_5_D	_2_G_3_i_5_F_6_k_8_E_9_g_0_-_1_b_0_-_5_D	0.411
3ctm_A	_0_I_0_-_0_i_3_d_2_f_4_o_9_b_1_C	_5_F_5_b_4_i_8_b_1_g_0_-_1_b_6_C	0.520
1zbx_B	_3_d_2_f_4_o_9_b_1_C_0_-_5_D_0_-_3_J_3_I	_5_d_2_g_0_-_6_c_6_B_2_e_3_F_5_A_4_I_5_E	0.476
6izg_A	_0_I_0_-_0_i_3_d_0_-_2_f_4_o_9_b_1_C	_0_G_8_E_4_j_4_b_1_B_12_f_0_-_0_-_4_C	0.473
6dtr_A	_0_i_0_-_3_d_2_f_4_o_9_b_1_C_0_-_5_D_3_J	_6_k_16_l_6_d_2_h_0_-_0_-_3_E_3_d_10_C_11_J	0.450
4zwl_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D	_6_E_3_m_7_m_1_j_3_o_0_-_5_C_6_H_2_D	0.393
3wcs_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_0_-_3_J_3_I	_10_H_0_-_0_-_0_-_0_-_8_b_15_E_12_E_6_C_8_G_4_G	0.351
5jbh_O	_3_d_2_f_4_o_9_b_1_C_5_D	_4_e_7_i_12_j_1_c_9_B_3_B	0.477
2y1s_A	_9_b_1_C_5_D_0_-_3_J_3_I	_0_b_1_C_2_C_5_b_0_G_6_G	0.623
2jtg_A	_0_i_0_-_3_d_2_f_4_o_9_b	_8_g_11_B_0_b_2_c_0_-_15_b	0.381
5jzj_B	_0_I_0_i_3_d_0_-_0_-_2_f_4_o_0_-_9_b_1_C_5_D	_5_G_0_-_13_d_10_E_3_F_6_g_4_n_2_A_5_b_0_D_5_D	0.494
1tdq_B	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D_3_J_3_I	_2_I_1_i_3_A_5_j_0_-_0_-_3_E_8_A_23_F_5_E_4_G	0.393
1v9n_A	_0_i_3_d_2_f_4_o_9_b_1_C	_3_h_2_c_15_d_0_-_2_d_1_C	0.436
3bq1_A	_0_I_0_i_0_-_3_d_0_-_2_f_4_o_9_b_0_-_0_-_1_C_5_D_3_J_0_-_3_I	_3_E_2_i_5_B_5_f_2_b_5_g_0_-_6_b_5_g_2_i_10_A_0_-_3_J_2_m_6_G	0.381
2n4i_A	_9_b_1_C_0_-_5_D_3_J_3_I	_9_c_3_C_1_d_1_F_8_G_2_J	0.458
5tg3_A	_9_b_1_C_5_D_3_J_3_I	_4_b_6_E_6_C_7_H_4_G	0.680
1fjc_A	_9_b_1_C_0_-_5_D_3_J_3_I	_0_b_0_D_7_g_2_C_2_B_2_I	0.491
3cx5_B	_0_I_0_i_3_d_2_f_4_o_0_-_9_b_1_C_0_-_5_D_3_J_0_-_0_-_0_-_3_I	_4_G_0_m_4_b_5_j_2_k_17_j_2_b_0_E_3_i_24_D_4_H_4_j_6_b_2_F_2_I	0.353
1y8z_A	_0_I_0_i_0_-_3_d_2_f_4_o_9_b_1_C_0_-_5_D_0_-_0_-_3_J	_4_E_7_j_6_D_5_c_5_f_0_-_0_-_2_C_11_c_5_B_6_g_3_b_1_G	0.391
4fop_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_2_G_0_-_3_b_1_i_0_-_4_b_0_F_7_D	0.436
1ppj_E	_3_d_2_f_4_o_9_b_1_C_0_-_5_D_3_J	_0_b_11_b_7_u_6_b_3_B_1_b_5_E_2_F	0.359
6nz8_A	_0_i_3_d_2_f_0_-_4_o_9_b_0_-_0_-_1_C_5_D_3_J_3_I	_2_g_19_b_5_f_2_j_1_j_13_c_6_j_7_h_2_C_3_H_5_I_3_I	0.420
1fs0_G	_3_d_2_f_0_-_4_o_9_b_1_C_0_-_5_D_0_-_3_J_3_I	_4_b_0_-_6_F_9_m_0_-_3_F_1_i_3_D_9_l_6_I_2_I	0.350
3etn_A	_0_i_0_-_3_d_2_f_0_-_4_o_9_b_1_C_0_-_5_D	_6_h_10_C_2_d_2_f_4_B_4_c_1_c_5_D_6_k_4_E	0.368
3ttk_A	_0_I_0_i_3_d_2_f_0_-_0_-_4_o_0_-_9_b_1_C_0_-_5_D_3_J_3_I	_2_K_1_g_9_c_1_g_3_B_3_j_8_m_2_A_3_g_4_D_0_k_7_B_0_-_6_G	0.393
3ckd_B	_0_i_3_d_2_f_4_o_9_b	_2_g_2_c_6_g_2_j_3_i	0.417
5ayw_A	_0_I_0_i_3_d_2_f_0_-_4_o_9_b_1_C_0_-_5_D_0_-_0_-_3_J_3_I	_5_I_0_-_0_-_4_f_6_A_2_m_0_-_6_H_4_H_5_G_6_d_12_k_2_I_6_I	0.357
1k9s_A	_2_f_4_o_0_-_9_b_1_C_5_D_0_-_3_J_3_I	_3_j_0_-_1_F_1_b_2_E_2_E_5_l_3_I_9_H	0.389
5lj5_A	_0_i_0_-_3_d_0_-_0_-_0_-_2_f_4_o_9_b_0_-_1_C_5_D_0_-_3_J_3_I	_2_i_7_B_6_d_3_g_5_E_10_m_1_g_18_p_7_h_3_m_1_B_10_D_0_h_8_G_6_H	0.354
1x9z_A	_0_I_0_-_0_i_3_d_2_f_4_o_9_b_1_C	_3_G_0_b_4_j_0_-_7_i_10_j_1_d_6_B	0.402
1e1t_A	_0_I_0_-_0_i_3_d_2_f_4_o_9_b_0_-_1_C_5_D_0_-_3_J_3_I	_5_I_5_J_0_-_10_c_1_f_1_o_4_A_5_A_11_C_4_D_4_h_4_H_11_I	0.566
6o6q_A	_0_I_0_-_0_i_3_d_0_-_2_f_4_o_0_-_9_b_1_C_5_D	_3_G_5_F_5_j_9_D_4_D_6_f_2_n_2_A_5_b_0_C_4_C	0.435
1a4s_A	_0_i_3_d_0_-_2_f_4_o_0_-_9_b_1_C_0_-_5_D	_5_i_3_c_7_D_0_l_19_m_2_C_9_b_8_C_6_c_6_F	0.407
4yld_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_2_G_7_f_0_-_4_g_0_-_0_-_0_-_4_D_5_G_4_H	0.370
1iby_A	_9_b_1_C_5_D_3_J_3_I	_0_b_1_D_4_F_4_E_11_F	0.489
2bb3_A	_3_d_0_-_2_f_4_o_9_b_1_C_0_-_0_-_5_D_0_-_3_J_3_I	_8_d_8_B_4_h_0_-_3_b_0_D_3_c_1_c_1_E_6_b_3_E_6_E	0.365
7pps_A	_0_I_0_i_0_-_3_d_2_f_0_-_4_o_0_-_0_-_9_b_1_C_5_D_3_J_0_-_3_I	_4_E_5_k_2_b_3_d_3_f_8_A_4_m_5_G_3_h_11_b_13_A_0_-_1_H_0_f_5_I	0.436
1wvq_C	_0_I_0_i_0_-_3_d_2_f_4_o_9_b_1_C_0_-_5_D_3_J_3_I	_6_E_5_i_6_F_7_D_2_k_0_-_0_-_4_E_3_h_6_E_3_H_2_H	0.365
6oc6_A	_0_I_0_i_3_d_0_-_0_-_2_f_4_o_9_b_0_-_1_C_5_D_0_-_3_J_3_I	_5_E_0_-_4_c_7_A_2_A_6_b_0_-_4_c_9_B_4_D_20_D_6_E_15_F_2_H	0.392
