3cwb_F	_4_j_2_c_1_c_0_-_2_m_2_c_2_c_7_m	_0_k_1_c_3_b_5_h_2_n_5_b_3_b_5_m	0.657
2fvk_A	_0_i_4_E_5_k_8_C_0_-_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_0_-_2_c_1_c_2_m_2_c_2_c_7_m_2_k_0_-_3_l_0_-_6_k_0_-_3_b_2_c	_18_i_2_H_9_k_7_F_7_n_16_k_3_D_3_k_7_c_0_-_3_m_0_-_4_B_5_k_3_D_1_d_2_c_0_-_8_b_13_d_0_-_11_i_4_A_17_c_0_A_0_b_1_A_2_b_10_c	0.462
1feu_A	_0_i_4_E_5_k_8_C_8_j_9_D_0_-_6_e_0_-_1_d_0_-_5_F_2_b_2_c_3_C_4_j_2_c	_5_e_2_F_0_-_4_F_0_j_4_D_5_J_6_G_5_I_3_c_3_C_3_E_1_b_0_-_4_C_7_C_0_b	0.356
4omu_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_0_-_0_-_1_d_5_F_2_b_2_c_3_C_4_j_0_-_2_c_0_-_1_c_2_m_2_c_0_-_2_c_0_-_7_m_2_k	_7_j_4_F_5_g_5_C_4_f_2_A_1_e_4_C_5_C_2_f_13_D_3_c_2_e_4_D_3_k_2_C_1_b_6_C_2_d_0_-_7_b_6_C_8_g_4_B_2_l_6_k	0.462
1g8q_A	_7_m_2_k_3_l_6_k_3_b_2_c_2_i	_0_o_4_k_0_-_8_h_0_-_9_d_4_i	0.529
1y4j_B	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_0_-_4_j_2_c_0_-_1_c	_2_D_0_-_14_D_0_-_2_C_5_j_4_d_1_D_0_b_2_e_10_D_14_b_9_i_7_h_60_F_3_b	0.521
4j5i_D	_4_E_5_k_8_C_8_j_0_-_9_D_6_e_1_d_5_F_0_-_2_b_2_c_0_-_3_C_4_j_2_c	_6_C_9_k_1_C_7_j_20_G_7_D_0_e_3_h_1_D_5_D_0_-_1_B_6_B_5_C_4_l_1_b	0.451
6ilr_B	_4_E_5_k_8_C_0_-_8_j_9_D_6_e_1_d_5_F_0_-_2_b_2_c_3_C_4_j_0_-_2_c_0_-_1_c_2_m_0_-_2_c_0_-_2_c_7_m_2_k_3_l_6_k_3_b_2_c_2_i	_14_F_1_j_4_C_1_B_2_i_12_B_0_-_0_-_5_F_5_E_2_c_7_g_3_E_3_j_5_F_6_c_4_B_2_g_6_k_4_D_1_b_1_D_5_B_0_-_13_k_4_l_0_-_6_b_0_-_3_j	0.466
3bl2_A	_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b_2_c	_0_l_0_-_10_p_7_l_6_k_12_l_0_-_0_-_2_c	0.457
4flb_A	_7_m_2_k_3_l_6_k_3_b_2_c_0_-_2_i	_0_k_4_k_1_m_2_m_7_f_2_e_7_k_4_j	0.567
1uh6_A	_4_E_5_k_8_C_8_j_0_-_9_D_0_-_6_e_1_d_5_F	_0_F_0_-_6_E_4_j_3_b_1_C_2_A_0_-_6_c_5_E	0.533
7m59_A	_9_D_6_e_1_d_5_F_2_b_2_c_3_C	_0_F_4_n_3_b_1_F_1_b_0_-_1_A	0.459
1ufb_A	_2_c_3_C_4_j_2_c_1_c_2_m	_9_e_0_-_9_j_8_b_5_c_2_o	0.588
1a70_A	_4_E_5_k_8_C_8_j_9_D_0_-_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c	_0_G_0_-_2_G_4_f_17_E_2_A_8_e_0_-_1_B_0_b_1_A_3_C_0_-_3_b	0.388
2ohf_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_0_-_4_j_2_c_1_c_2_m_2_c_0_-_2_c_7_m_0_-_2_k_3_l_6_k_0_-_0_-_3_b_2_c_0_-_2_i	_0_C_6_h_4_D_3_i_3_B_0_-_0_-_2_E_0_-_5_f_4_E_4_p_8_j_5_b_5_i_0_-_2_b_2_E_2_e_3_k_4_D_1_h_2_i_6_j_2_F_3_G_4_e_4_d_0_F_1_f	0.382
4ebr_B	_0_i_4_E_5_k_8_C_0_-_0_-_8_j_9_D_6_e_1_d_5_F_2_b_2_c	_0_k_8_E_0_-_6_D_8_I_4_I_12_h_11_C_0_-_0_-_2_D_5_b_10_e	0.476
3bgs_A	_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_0_-_4_j_2_c_1_c_2_m_2_c_0_-_0_-_2_c_7_m_0_-_2_k_0_-_3_l_0_-_6_k_3_b_2_c_2_i	_0_k_6_D_4_e_0_-_1_F_0_b_9_c_1_F_2_F_0_-_4_b_3_c_0_-_1_h_3_I_9_H_0_d_25_k_7_F_8_h_4_B_3_i_2_J_12_i_0_-_0_-_1_j	0.418
1n8p_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_0_-_2_c_1_c_0_-_2_m_2_c_2_c_7_m_2_k_3_l_0_-_6_k_3_b_2_c_2_i	_0_f_0_-_40_k_4_D_2_i_6_D_4_h_0_-_9_B_0_-_2_g_4_E_12_j_6_D_4_c_2_c_3_D_13_D_0_-_0_-_2_k_5_j_2_n_6_D_9_f_1_b_4_E_3_i	0.449
4q0y_B	_4_E_5_k_8_C_8_j_0_-_9_D_0_-_6_e_1_d_5_F_2_b_2_c_3_C_4_j	_10_D_2_h_9_C_7_b_2_K_2_E_2_D_0_-_0_-_6_D_0_-_0_-_5_C_1_i	0.371
5ttx_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_0_-_2_m	_0_E_5_k_0_-_0_-_6_F_0_-_9_b_2_F_0_-_0_-_9_D_2_j_8_i_0_-_5_F_12_m	0.410
5m38_B	_4_E_5_k_8_C_8_j_0_-_9_D_6_e_1_d_5_F	_0_C_12_m_4_E_6_o_5_b_0_D_12_f_0_-_1_E	0.501
1yal_A	_0_i_4_E_5_k_0_-_8_C_8_j_9_D_6_e_1_d_0_-_0_-_5_F_0_-_2_b_2_c_3_C	_7_f_0_-_11_j_18_b_9_C_5_f_4_D_0_-_4_c_5_A_9_J_2_F_11_D_8_b_0_-_5_C	0.481
3bhd_A	_8_C_8_j_0_-_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_0_-_1_c_0_-_0_-_2_m_2_c_2_c_7_m_2_k	_0_F_5_f_3_K_10_D_0_-_0_-_3_F_0_-_0_-_10_D_2_j_6_g_2_L_0_c_5_H_4_H_2_l_12_h_0_-_0_-_1_j	0.372
1xrk_A	_8_C_8_j_9_D_0_-_6_e_1_d_5_F_2_b_2_c_3_C_4_j	_0_C_2_e_8_D_3_E_0_-_0_-_2_F_6_b_0_-_1_E_2_g	0.374
4fet_B	_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b_2_c	_0_c_2_f_4_l_7_d_6_c_0_-_9_j_0_-_10_B_0_-_8_c	0.398
5f4c_A	_8_C_0_-_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j	_0_D_0_b_3_j_0_-_3_b_3_h_7_E_0_-_3_e_0_-_1_k	0.412
4fm4_A	_0_i_4_E_5_k_8_C_8_j_0_-_9_D_0_-_6_e_1_d_5_F_2_b_2_c_3_C_0_-_4_j_2_c_1_c	_7_j_0_-_3_k_0_-_1_h_1_f_10_E_4_E_6_c_4_c_0_-_1_e_4_f_9_E_4_E_0_-_11_d_4_d	0.456
4ow1_X	_4_j_2_c_1_c_2_m_2_c	_0_h_19_e_6_b_2_n_3_d	0.736
2psq_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_0_-_4_j_2_c_1_c_2_m_2_c_0_-_2_c_7_m	_9_G_6_l_9_D_0_-_6_D_6_f_10_n_2_A_5_b_0_-_0_B_5_B_6_A_16_b_2_d_5_l_11_h_12_i_4_b_3_l	0.443
4o6a_A	_4_E_0_-_0_-_5_k_8_C_8_j_9_D_0_-_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_0_-_2_c_7_m_2_k_3_l_6_k_3_b_2_c	_6_E_9_b_4_A_1_l_6_C_0_-_8_F_3_J_5_b_11_f_4_D_9_b_0_-_1_C_1_h_0_-_0_-_17_m_1_b_4_k_3_c_1_o_0_-_20_l_0_-_0_-_3_d	0.444
4wfa_Q	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F	_0_c_0_C_3_f_3_E_5_j_6_E_0_-_0_-_16_F	0.470
5hvm_A	_0_i_4_E_0_-_5_k_8_C_8_j_0_-_9_D_0_-_6_e_1_d_5_F_2_b_0_-_2_c_0_-_0_-_3_C_4_j_0_-_2_c_0_-_1_c_0_-_2_m_2_c_2_c_7_m_2_k_3_l	_2_h_7_D_7_c_5_g_4_C_2_k_4_A_2_C_2_F_6_f_3_k_4_G_2_b_1_k_1_b_3_G_6_o_7_C_5_i_2_C_9_f_7_D_4_c_4_B_4_k_0_-_0_-_2_m_0_-_2_m	0.364
3k12_A	_4_E_5_k_0_-_8_C_8_j_9_D_6_e_1_d_5_F	_2_C_11_m_4_b_0_G_2_j_10_E_0_-_0_-_12_C	0.394
6q11_A	_0_i_0_-_4_E_0_-_5_k_8_C_8_j_0_-_9_D_0_-_6_e_1_d_5_F_2_b_2_c_3_C_0_-_0_-_4_j_0_-_2_c_1_c	_5_j_4_A_5_D_8_B_4_k_2_D_3_k_3_C_3_D_9_B_7_j_0_-_5_E_0_-_9_e_4_C_2_D_8_B_3_k_3_D_2_c_5_f	0.370
7lvl_D	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_0_-_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k	_2_l_5_C_5_k_3_D_8_k_4_D_1_c_5_i_3_E_0_-_5_i_4_C_2_h_4_C_1_b_0_-_2_j_0_-_0_-_3_m_5_j_0_-_18_k	0.468
1k20_A	_4_E_5_k_8_C_8_j_0_-_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_0_-_2_c_0_-_0_-_2_c_7_m_2_k_3_l_0_-_0_-_6_k_0_-_3_b_2_c_2_i	_0_C_6_m_3_B_7_i_11_b_3_D_4_b_4_b_1_F_0_-_0_-_13_C_5_j_0_-_6_l_9_k_3_i_9_c_4_E_2_I_2_d_0_-_0_-_2_l_3_G_4_G_2_g_7_D_0_-_4_c_1_i	0.408
4a2q_D	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_0_-_0_-_1_d_5_F_2_b_2_c_3_C_4_j_0_-_2_c_0_-_1_c_2_m_2_c_2_c_7_m_2_k_3_l_0_-_6_k	_6_j_4_C_6_k_9_C_3_m_3_C_4_e_3_C_1_h_6_b_2_D_1_b_5_j_10_E_10_l_3_B_5_f_5_D_7_n_5_l_0_-_5_s_2_m_4_o_6_l_5_C_3_j	0.411
2gia_A	_0_i_4_E_5_k_8_C_0_-_0_-_8_j_9_D_6_e_1_d_5_F	_0_j_3_E_2_e_1_G_2_H_10_H_2_i_6_C_0_-_0_-_3_F	0.407
2uyg_A	_4_E_0_-_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_0_-_3_C_4_j	_0_D_3_b_13_k_4_D_3_i_7_D_1_d_2_g_5_D_3_b_2_c_4_b_2_C_4_j	0.730
4r3u_A	_0_i_4_E_0_-_0_-_5_k_8_C_8_j_0_-_9_D_6_e_0_-_0_-_0_-_1_d_5_F_2_b_2_c_3_C_4_j_2_c_0_-_1_c_2_m_0_-_2_c_0_-_2_c_7_m_2_k_3_l_6_k_3_b_2_c_2_i	_4_k_5_D_1_d_6_b_13_f_10_C_4_k_4_b_2_B_4_a_11_m_3_A_3_A_1_d_4_n_5_b_1_b_2_D_3_m_10_b_4_D_1_b_5_m_4_B_12_l_14_p_3_e_2_n_28_l_2_l_7_i_0_-_0_-_3_j	0.379
2ibo_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d	_0_H_4_l_10_D_6_i_5_H_0_-_5_c	0.598
7v9l_R	_2_m_2_c_2_c_7_m_2_k_3_l_6_k	_3_m_1_e_8_c_0_-_7_h_0_-_7_j	0.353
2gjs_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_0_-_0_-_2_b_2_c_3_C_4_j	_0_E_6_h_3_H_0_-_2_H_0_-_3_d_4_F_3_m_5_E_4_b_4_j_2_C_8_n	0.414
3ufb_A	_0_i_4_E_5_k_0_-_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_0_-_2_c_2_c_7_m_2_k_0_-_3_l_0_-_6_k_3_b_2_c	_13_j_7_B_6_j_5_g_3_C_3_k_5_B_0_-_8_b_0_-_2_b_0_-_3_C_0_-_9_c_4_b_4_j_12_F_0_d_0_-_0_-_3_j_1_F_13_F_6_E_17_j_8_D_0_c	0.377
4tv6_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_0_-_2_c_2_c_0_-_7_m	_4_h_4_D_7_k_3_D_3_f_3_C_5_i_0_-_13_E_2_d_1_c_7_C_1_f_0_-_0_-_9_l_3_C_6_f_0_-_4_E_0_n	0.503
4nbc_F	_9_D_6_e_1_d_5_F_0_-_0_-_2_b_2_c_3_C	_0_D_0_-_0_b_4_F_2_H_2_E_9_b_0_-_1_B	0.372
1ja9_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_0_-_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c	_5_j_3_E_3_k_4_D_5_l_2_D_10_b_2_g_5_j_0_I_2_b_8_p_2_F_5_h_0_-_10_i_9_j_1_b	0.488
2mab_A	_2_c_7_m_2_k_3_l_6_k	_0_e_7_m_7_l_8_m_12_l	0.786
1kpf_A	_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c	_0_e_7_C_0_-_3_D_0_-_0_-_7_F_6_b_2_n_6_C_0_-_3_c	0.399
5vgm_A	_0_i_4_E_5_k_8_C_0_-_0_-_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_0_-_3_l_6_k_3_b_2_c_2_i	_4_j_5_C_10_k_4_D_8_h_3_B_8_k_2_C_10_g_5_e_5_B_0_-_5_h_4_D_0_-_2_c_2_d_0_-_5_b_0_-_0_-_8_k_4_B_8_c_12_j_0_-_3_d_5_e	0.470
1wfy_A	_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C	_0_F_0_-_5_E_0_-_10_c_0_-_26_b_0_-_5_B	0.355
3sb2_C	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C	_0_i_4_D_0_-_4_H_0_-_3_D_0_-_0_-_3_D_0_b_0_-_0_E	0.371
2vgl_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_0_-_0_-_2_c_0_-_3_C_0_-_4_j_2_c_0_-_1_c_2_m_2_c_2_c_0_-_7_m_2_k_3_l_6_k_3_b_0_-_2_c_2_i	_7_h_0_-_3_k_5_l_3_k_0_-_2_f_2_f_5_m_1_b_6_f_5_m_1_c_2_k_9_A_2_A_1_k_6_n_7_o_3_k_5_k_6_d_2_g_5_k_2_m_2_m_4_m_3_k_3_j_6_k_1_c_6_j	0.356
6ftl_I	_0_i_4_E_0_-_5_k_8_C_0_-_8_j_9_D_6_e_1_d_5_F_2_b_2_c	_0_k_3_F_10_F_5_k_4_G_6_H_0_-_7_F_0_-_0_-_5_F_0_-_0_d	0.397
3crd_A	_2_m_2_c_2_c_7_m_2_k_3_l_6_k	_0_k_8_f_4_f_0_-_6_i_8_f_3_k	0.399
4cbw_G	_1_d_5_F_0_-_2_b_2_c_3_C_0_-_4_j_2_c_1_c_2_m_0_-_2_c	_0_d_5_F_4_B_2_b_0_-_2_B_3_H_5_H_0_-_0_-_5_m_4_F_5_c	0.373
7qiy_J	_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c	_0_C_0_-_2_C_4_f_5_i_0_-_8_b_0_-_0_-_2_j_1_c_3_b_16_m_3_g	0.476
4j5s_C	_8_C_8_j_9_D_6_e_1_d_5_F_0_-_2_b_2_c_3_C_4_j	_0_C_2_b_5_E_9_h_2_f_5_F_2_F_10_m_0_-_4_C_11_j	0.515
3ppi_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m	_4_j_3_E_2_j_3_D_5_j_4_F_20_g_5_k_10_E_2_b_7_p_1_G_0_-_5_c_3_h_10_k	0.554
3ewp_B	_0_i_4_E_0_-_5_k_8_C_0_-_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j	_2_j_2_F_8_i_1_k_4_C_6_G_8_i_8_D_10_j_0_-_5_E_0_-_0_-_0_-_2_j	0.524
1r8h_A	_4_E_5_k_0_-_8_C_8_j_9_D_6_e_1_d	_0_H_1_k_1_b_19_E_3_i_7_G_0_-_0_c	0.607
2zgy_A	_0_i_4_E_0_-_5_k_8_C_0_-_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_0_-_2_c_2_c_7_m_2_k	_1_k_5_G_1_c_8_i_4_B_6_H_2_i_5_F_0_-_0_-_4_F_0_b_0_-_2_F_5_i_6_j_4_f_6_p_7_D_3_i_5_b_0_A_4_k	0.384
2hls_A	_0_i_4_E_5_k_8_C_0_-_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_0_-_2_m_0_-_2_c_2_c_7_m_0_-_2_k	_0_j_6_F_7_k_2_A_2_A_0_-_1_F_4_e_0_-_7_C_0_-_0_-_4_C_6_k_7_h_0_-_4_F_6_m_5_F_4_e_0_-_7_C_2_D_4_j	0.406
2byc_A	_4_E_5_k_8_C_0_-_8_j_0_-_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j	_0_I_4_n_2_E_3_H_0_j_4_J_11_B_1_f_0_-_0_-_1_b_0_-_0_-_9_j	0.394
7anc_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_0_-_3_C_0_-_4_j_2_c_1_c_2_m_2_c_2_c_0_-_7_m_0_-_2_k_3_l_0_-_0_-_6_k_3_b_2_c_2_i	_0_C_4_j_5_A_11_j_3_C_13_o_0_-_4_F_0_b_10_b_10_o_3_E_1_B_0_-_0_-_0_-_12_m_2_g_4_i_6_E_4_A_1_B_0_k_2_c_6_A_6_A_0_j_4_D_9_d_8_j	0.359
4r3i_A	_0_i_4_E_5_k_8_C_8_j_0_-_0_-_9_D_6_e_1_d_5_F_0_-_2_b_0_-_2_c_3_C_0_-_4_j_2_c	_0_g_2_G_2_i_1_A_3_j_4_G_4_A_1_D_0_-_21_b_2_G_3_A_0_c_3_A_0_b_2_A_8_A_1_i_8_g	0.464
1wy7_D	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_0_-_2_c_3_C_4_j	_0_i_9_b_6_k_7_D_5_g_4_E_2_i_1_b_3_D_2_b_6_A_13_i_2_F_2_k	0.517
1buy_A	_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b_2_c_2_i	_0_m_21_c_0_-_4_r_0_-_8_n_26_j_0_-_0_-_5_g	0.371
2gi3_A	_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_0_-_2_c_3_C_4_j_2_c_0_-_1_c_2_m_2_c_2_c_7_m_0_-_2_k_3_l_6_k_3_b_2_c_0_-_0_-_2_i	_2_l_2_C_0_-_15_D_13_b_9_c_6_E_32_g_4_E_5_f_2_C_19_E_2_e_32_C_0_d_4_l_4_C_0_-_4_m_7_g_2_k_5_l_2_D_14_d_5_e_3_H_2_G_5_k	0.406
7c8n_A	_0_i_4_E_5_k_8_C_0_-_8_j_9_D_6_e_1_d	_0_g_12_E_0_-_6_H_2_H_3_k_0_-_4_d_3_g	0.421
4o8v_A	_4_E_5_k_8_C_0_-_8_j_9_D_6_e_1_d_5_F_2_b_0_-_2_c_3_C_4_j_0_-_2_c_1_c_0_-_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b_0_-_2_c_2_i	_0_B_0_-_5_B_0_b_11_l_3_F_2_c_1_b_0_-_7_b_2_j_11_c_0_-_15_k_10_J_2_d_3_e_4_I_5_C_2_c_1_b_0_-_1_h_0_-_4_A_17_d_4_F_0_b_10_g	0.369
3t4x_A	_0_i_4_E_5_k_8_C_8_j_9_D_0_-_6_e_1_d_5_F_2_b_2_c_3_C_4_j_0_-_2_c_1_c_2_m_2_c	_5_j_3_E_2_k_4_E_5_i_5_C_9_b_2_j_2_g_7_E_3_b_6_e_0_-_2_i_4_E_7_c_12_f_16_j_1_b	0.603
5hy3_B	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F	_0_G_0_-_5_G_1_l_2_E_0_-_0_-_2_F	0.356
3qh4_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_0_-_2_c_3_C_4_j_2_c_1_c_0_-_2_m_0_-_2_c_2_c_7_m	_5_G_0_-_5_F_13_j_2_D_11_l_1_c_1_J_1_l_7_D_9_d_0_-_8_j_10_b_0_-_9_G_3_k_4_I_2_c_0_-_4_m	0.429
4m0c_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_0_-_0_-_4_j_2_c_1_c_0_-_2_m	_0_E_10_l_5_E_9_j_0_-_5_g_2_f_3_F_0_-_7_d_9_B_4_B_8_D_0_-_8_d_1_f_11_D_6_o	0.530
4zjb_G	_7_m_2_k_3_l_6_k_3_b_2_c_2_i	_0_n_3_b_0_-_14_k_0_-_6_c_5_i	0.476
1u8v_A	_0_i_4_E_0_-_5_k_8_C_8_j_0_-_9_D_6_e_1_d_5_F_2_b_2_c_3_C_0_-_0_-_0_-_0_-_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b_2_c_2_i	_11_b_8_D_3_G_0_-_10_C_7_e_1_E_5_D_5_d_5_b_9_J_0_b_0_-_0_C_2_w_5_q_2_A_5_A_2_j_0_-_0_-_2_k_2_c_3_c_0_-_12_g_8_l_0_-_11_b_4_j_2_j	0.429
1kn6_A	_8_C_8_j_0_-_9_D_6_e_1_d_5_F	_0_C_4_f_6_A_9_D_17_e_0_-_3_B	0.583
1pby_A	_0_i_0_-_0_-_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c	_0_f_1_b_12_b_0_B_1_k_0_-_6_k_0_-_5_b_3_d_0_-_11_f_6_c_1_B_1_k_1_d_8_c_0_-_5_f	0.399
3ecd_D	_0_i_4_E_0_-_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_0_-_4_j_0_-_0_-_2_c_0_-_1_c_2_m_2_c_0_-_0_-_0_-_2_c_7_m_2_k_3_l	_5_j_5_D_3_D_10_j_3_D_9_i_3_D_4_d_6_b_3_D_2_b_0_-_5_D_2_i_4_k_2_p_3_A_0_b_5_D_1_b_0_-_3_i_2_A_1_A_14_D_1_d_4_n_0_-_5_l	0.432
1dkq_A	_4_E_0_-_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_0_-_2_c_1_c_0_-_0_-_2_m_2_c_2_c_7_m_2_k_3_l_6_k_0_-_3_b_2_c_0_-_2_i	_0_J_10_d_17_n_14_D_3_k_7_A_0_-_9_b_0_-_11_j_4_e_0_-_2_j_1_b_1_c_10_c_4_B_4_B_2_m_4_c_0_-_4_m_3_f_0_-_1_j_5_A_1_b_1_A_3_E_1_j	0.431
2gi4_A	_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_0_-_1_c_2_m	_0_D_6_l_6_E_11_h_14_c_0_-_0_-_0_-_4_B_3_i_2_d_0_A_15_c_4_m	0.571
1wur_A	_5_k_8_C_8_j_9_D_6_e_1_d_5_F_0_-_0_-_2_b_2_c_3_C_4_j_2_c_1_c_2_m_0_-_2_c_0_-_2_c_7_m_2_k	_0_k_7_b_2_j_0_-_1_c_2_d_3_B_6_J_5_J_0_-_0_-_3_B_1_j_2_A_0_-_1_l_3_I_0_c_10_G_0_c_0_-_1_i	0.367
1yt8_A	_0_i_4_E_5_k_8_C_8_j_0_-_9_D_6_e_0_-_1_d_5_F_2_b_2_c_3_C_4_j_2_c_0_-_1_c_2_m_2_c_0_-_2_c_7_m_2_k_0_-_3_l_0_-_6_k_3_b_2_c_2_i	_2_j_6_D_4_j_6_C_2_f_17_m_2_B_1_h_5_D_3_e_6_A_2_e_1_c_6_D_0_-_9_d_3_D_4_b_18_A_1_f_5_D_3_e_6_A_2_j_4_D_4_k_3_C_2_f_0_-_34_f_1_g	0.419
1oz7_B	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C	_2_I_1_j_4_A_7_f_9_F_0_-_4_b_19_D_0_b_0_-_1_D	0.473
2qxy_B	_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j	_0_k_0_-_9_i_4_C_6_j_0_-_4_E_0_-_4_i_3_C_4_j	0.532
2axo_A	_0_i_4_E_5_k_8_C_0_-_8_j_9_D_6_e_1_d_5_F_0_-_0_-_2_b_2_c_3_C_4_j	_7_g_7_E_15_h_12_C_3_C_3_k_8_D_0_-_0_-_4_D_7_J_7_I_0_-_0_-_8_B_1_f	0.389
1kz7_A	_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b_0_-_2_c	_0_j_0_-_2_l_0_-_16_d_1_d_0_-_3_d_5_d_0_-_5_h_0_-_0_-_3_o_3_i_5_d_0_-_1_k_10_n_0_-_2_b_0_A_5_c	0.377
6y5e_G	_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c	_0_c_7_e_0_-_2_b_0_-_8_q_7_i_1_e_16_b	0.451
4f0f_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_0_-_0_-_0_-_2_c_0_-_7_m_2_k_3_l_6_k_3_b_2_c_2_i	_0_E_0_-_8_E_0_-_5_E_9_c_3_i_10_D_0_-_0_-_4_D_0_-_6_e_0_-_7_n_12_b_0_B_10_B_12_A_10_b_6_A_1_m_11_i_0_-_12_i_4_b_0_-_3_h	0.374
4pj3_A	_0_i_0_-_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_0_-_2_c_1_c_0_-_2_m_0_-_2_c_2_c_7_m_2_k_3_l_0_-_6_k_0_-_3_b_0_-_0_-_2_c_2_i	_2_i_8_f_18_D_5_f_4_C_0_-_11_C_0_-_0_-_6_E_9_b_10_h_3_A_9_l_5_A_5_i_6_b_0_A_16_q_10_i_3_h_4_e_25_n_1_c_3_f_7_A_2_k_5_A_3_b_2_h_12_A_15_d_4_g	0.390
5v7q_V	_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C	_0_C_8_h_3_D_0_-_0_-_5_D_0_-_7_c_8_D	0.367
1r6o_C	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F	_0_F_6_j_0_-_3_k_1_G_0_m_0_-_5_F	0.462
